NewVehicleRef,Timestamp_x,segment_id,HalfHourly,intersections_y,busstops_y,DayOfWeek_y,Holiday_y,BusLane_y,AvgSpeed
MTA NYCT_3833_1,2018-04-08 17:14:52-04:00,3,2,16,6,7,1,False,3.49408805031
MTA NYCT_3833_1,2018-04-09 17:25:28-04:00,3,2,16,6,1,0,True,2.29264573991
MTA NYCT_3833_1,2018-04-11 18:11:13-04:00,3,4,16,6,3,0,True,2.48508710801
MTA NYCT_3833_1,2018-04-12 17:50:59-04:00,3,3,16,6,4,0,True,1.96943760984
MTA NYCT_3833_1,2018-04-08 17:20:42-04:00,4,2,9,1,7,1,False,3.87571428571
MTA NYCT_3833_1,2018-04-09 17:33:26-04:00,4,3,9,1,1,0,True,1.7325
MTA NYCT_3833_1,2018-04-11 18:16:33-04:00,4,4,9,1,3,0,True,2.49404255319
MTA NYCT_3833_1,2018-04-12 18:01:32-04:00,4,4,9,1,4,0,True,1.86597222222
MTA NYCT_3833_1,2018-04-08 17:24:26-04:00,5,2,8,3,7,1,False,3.374921875
MTA NYCT_3833_1,2018-04-09 17:39:45-04:00,5,3,8,3,1,0,True,1.07735632184
MTA NYCT_3833_1,2018-04-11 18:20:13-04:00,5,4,8,3,3,0,True,1.35877604167
MTA NYCT_3833_1,2018-04-12 18:06:53-04:00,5,4,8,3,4,0,True,1.92046099291
MTA NYCT_3833_1,2018-04-08 17:27:07-04:00,6,2,9,3,7,1,False,2.00921875
MTA NYCT_3833_1,2018-04-09 17:46:04-04:00,6,3,9,3,1,0,True,1.88794520548
MTA NYCT_3833_1,2018-04-11 18:27:08-04:00,6,4,9,3,3,0,True,2.16575
MTA NYCT_3833_1,2018-04-12 18:12:06-04:00,6,4,9,3,4,0,True,2.03913265306
MTA NYCT_3834_1,2018-04-07 17:00:56-04:00,1,2,11,4,6,1,False,5.57166666667
MTA NYCT_3834_1,2018-04-09 18:15:36-04:00,1,4,11,4,1,0,True,2.23449567723
MTA NYCT_3834_1,2018-04-07 17:03:34-04:00,2,2,15,5,6,1,False,2.3202184466
MTA NYCT_3834_1,2018-04-09 18:21:55-04:00,2,4,15,5,1,0,True,1.74288718929
MTA NYCT_3834_1,2018-04-07 17:11:28-04:00,3,2,16,6,6,1,False,2.04878968254
MTA NYCT_3834_1,2018-04-09 18:31:46-04:00,3,5,16,6,1,0,True,2.10778004073
MTA NYCT_3834_1,2018-04-07 17:20:58-04:00,4,2,9,1,6,1,False,3.41893617021
MTA NYCT_3834_1,2018-04-09 18:40:28-04:00,4,5,9,1,1,0,True,1.92727626459
MTA NYCT_3834_1,2018-04-07 17:24:53-04:00,5,2,8,3,6,1,False,2.59383419689
MTA NYCT_3834_1,2018-04-09 18:45:15-04:00,5,5,8,3,1,0,True,2.21407239819
MTA NYCT_3834_1,2018-04-07 17:29:11-04:00,6,2,9,3,6,1,False,3.16504
MTA NYCT_3834_1,2018-04-09 18:49:29-04:00,6,5,9,3,1,0,True,1.854625
MTA NYCT_3834_2,2018-04-07 19:50:06-04:00,1,7,11,4,6,1,False,3.36008928571
MTA NYCT_3834_2,2018-04-07 19:54:22-04:00,2,7,15,5,6,1,False,3.31782101167
MTA NYCT_3835_1,2018-04-09 18:14:12-04:00,2,4,15,5,1,0,True,4.72215384615
MTA NYCT_3835_1,2018-04-09 18:15:49-04:00,3,4,16,6,1,0,True,2.27933471933
MTA NYCT_3835_1,2018-04-10 17:40:26-04:00,3,3,16,6,2,0,True,2.03528440367
MTA NYCT_3835_1,2018-04-09 18:24:22-04:00,4,4,9,1,1,0,True,2.07658031088
MTA NYCT_3835_1,2018-04-10 17:50:02-04:00,4,3,9,1,2,0,True,2.95575949367
MTA NYCT_3835_1,2018-04-09 18:29:56-04:00,5,4,8,3,1,0,True,0.3384375
MTA NYCT_3835_1,2018-04-10 17:53:12-04:00,5,3,8,3,2,0,True,1.70290625
MTA NYCT_3835_1,2018-04-09 18:30:59-04:00,6,5,9,3,1,0,True,3.37246153846
MTA NYCT_3835_1,2018-04-10 17:59:37-04:00,6,3,9,3,2,0,True,1.48510416667
MTA NYCT_3837_1,2018-04-06 17:30:56-04:00,1,3,11,4,5,0,True,2.88854166667
MTA NYCT_3837_1,2018-04-07 19:01:53-04:00,1,6,11,4,6,1,False,2.94175097276
MTA NYCT_3837_1,2018-04-08 16:01:28-04:00,1,0,11,4,7,1,False,2.44857585139
MTA NYCT_3837_1,2018-04-06 17:34:39-04:00,2,3,15,5,5,0,True,2.02037037037
MTA NYCT_3837_1,2018-04-07 19:06:42-04:00,2,6,15,5,6,1,False,2.22624444444
MTA NYCT_3837_1,2018-04-08 16:07:55-04:00,2,0,15,5,7,1,False,1.9810251046
MTA NYCT_3837_1,2018-04-09 16:00:10-04:00,2,0,15,5,1,0,True,1.82492063492
MTA NYCT_3837_1,2018-04-06 17:44:43-04:00,3,3,16,6,5,0,True,2.33016877637
MTA NYCT_3837_1,2018-04-08 16:16:25-04:00,3,0,16,6,7,1,False,2.33256124722
MTA NYCT_3837_1,2018-04-09 16:02:48-04:00,3,0,16,6,1,0,True,2.32603603604
MTA NYCT_3837_1,2018-04-06 17:53:09-04:00,4,3,9,1,5,0,True,2.53443946188
