,Bearing,BlockRef,CallDistanceAlongRoute,DataFrameRef,DatedVehicleJourneyRef,DestinationName,DestinationRef,DirectionRef,DistanceFromCall,ExpectedArrivalTime,ExpectedDepartureTime,JourneyPatternRef,Latitude,LineRef,Longitude,Monitored,OperatorRef,OriginAimedDepartureTime,OriginRef,PresentableDistance,ProgressRate,ProgressStatus,PublishedLineName,RecordedAtTime,StopPointName,StopPointRef,StopsFromCall,VehicleRef,VisitNumber
12,233.96722,MTA NYCT_OF_B8-Saturday_A_OF_57420_M1-128,7172.01,2018-04-07,MTA NYCT_OF_B8-Saturday-096000_M1_128,GRAND STREET via 5 AV/BROADWAY,MTA_803192,1,155.25,2018-04-07T16:38:10.948-04:00,2018-04-07T16:38:10.948-04:00,MTA_M010187,40.769418,MTA NYCT_M1,-73.969256,True,MTA NYCT,,MTA_405284,< 1 stop away,normalProgress,,M1,2018-04-07T16:37:19.000-04:00,5 AV/E 65 ST,MTA_400126,0,MTA NYCT_3894,1
13,53.967133,MTA NYCT_OF_B8-Saturday_A_OF_16020_M1-104,4414.29,2018-04-07,MTA NYCT_OF_B8-Saturday-096000_M1_117,HARLEM 147 ST via MADISON,MTA_803003,0,159.76,2018-04-07T16:38:22.397-04:00,2018-04-07T16:38:22.397-04:00,MTA_M010182,40.754019,MTA NYCT_M1,-73.97839,True,MTA NYCT,,MTA_903130,< 1 stop away,normalProgress,,M1,2018-04-07T16:37:21.000-04:00,MADISON AV/E 45 ST,MTA_400358,0,MTA NYCT_6783,1
14,53.726135,MTA NYCT_OF_B8-Saturday_A_OF_48600_M1-111,11425.92,2018-04-07,MTA NYCT_OF_B8-Saturday-091000_M1_111,HARLEM 147 ST via MADISON,MTA_803003,0,163.01,2018-04-07T16:37:53.514-04:00,2018-04-07T16:37:53.514-04:00,MTA_M010182,40.80918,MTA NYCT_M1,-73.938134,True,MTA NYCT,,MTA_903130,< 1 stop away,normalProgress,,M1,2018-04-07T16:37:06.000-04:00,MADISON AV/E 132 ST,MTA_400057,0,MTA NYCT_3838,1
15,232.96175,MTA NYCT_OF_B8-Saturday_A_OF_19620_M1-108,7172.01,2018-04-07,MTA NYCT_OF_B8-Saturday-095300_M1_127,GRAND STREET via 5 AV/BROADWAY,MTA_803192,1,228.31,2018-04-07T16:38:34.394-04:00,2018-04-07T16:38:34.394-04:00,MTA_M010187,40.769993,MTA NYCT_M1,-73.968835,True,MTA NYCT,,MTA_405284,< 1 stop away,normalProgress,,M1,2018-04-07T16:37:18.000-04:00,5 AV/E 65 ST,MTA_400126,0,MTA NYCT_6752,1
16,53.983444,MTA NYCT_OF_B8-Saturday_A_OF_31740_M1-106,3535.71,2018-04-07,MTA NYCT_OF_B8-Saturday-097700_M1_134,HARLEM 147 ST via MADISON,MTA_803003,0,348.92,2018-04-07T16:39:22.063-04:00,2018-04-07T16:39:22.063-04:00,MTA_M010182,40.745615,MTA NYCT_M1,-73.984521,True,MTA NYCT,,MTA_903130,< 1 stop away,normalProgress,,M1,2018-04-07T16:37:29.000-04:00,MADISON AV/E 34 ST,MTA_400354,0,MTA NYCT_3881,1
0,53.925827,MTA NYCT_OF_B8-Saturday_A_OF_48600_M1-111,11425.92,2018-04-07,MTA NYCT_OF_B8-Saturday-091000_M1_111,HARLEM 147 ST via MADISON,MTA_803003,0,0.0,2018-04-07T16:38:08.155-04:00,2018-04-07T16:38:08.155-04:00,MTA_M010182,40.810463,MTA NYCT_M1,-73.937197,True,MTA NYCT,,MTA_903130,at stop,normalProgress,,M1,2018-04-07T16:37:38.000-04:00,MADISON AV/E 132 ST,MTA_400057,0,MTA NYCT_3838,1
1,53.966354,MTA NYCT_OF_B8-Saturday_A_OF_30120_M1-108,9266.78,2018-04-07,MTA NYCT_OF_B8-Saturday-094000_M1_112,HARLEM 147 ST via MADISON,MTA_803003,0,2.95,2018-04-07T16:38:08.155-04:00,2018-04-07T16:38:08.155-04:00,MTA_M010182,40.79345,MTA NYCT_M1,-73.949621,True,MTA NYCT,,MTA_903130,at stop,normalProgress,,M1,2018-04-07T16:37:56.000-04:00,MADISON AV/E 106 ST,MTA_400045,0,MTA NYCT_6789,1
2,233.84181,MTA NYCT_OF_B8-Saturday_A_OF_45240_M1-135,9368.51,2018-04-07,MTA NYCT_OF_B8-Saturday-093400_M1_135,GRAND STREET via 5 AV/BROADWAY,MTA_803192,1,3.43,2018-04-07T16:38:08.155-04:00,2018-04-07T16:38:08.155-04:00,MTA_M010187,40.750934,MTA NYCT_M1,-73.982741,True,MTA NYCT,,MTA_405284,at stop,normalProgress,,M1,2018-04-07T16:37:55.000-04:00,5 AV/W 38 ST,MTA_400519,0,MTA NYCT_6759,1
3,49.23225,MTA NYCT_OF_B8-Saturday_A_OF_24600_M1-111,13730.36,2018-04-07,MTA NYCT_OF_B8-Saturday-090300_M1_119,GRAND STREET via 5 AV/BROADWAY,MTA_803192,1,7.89,2018-04-07T16:38:08.155-04:00,2018-04-07T16:38:08.155-04:00,MTA_M010187,40.720545,MTA NYCT_M1,-73.99787,True,MTA NYCT,2018-04-07T16:40:00.000-04:00,MTA_405284,at stop,noProgress,layover,M1,2018-04-07T16:37:59.000-04:00,CENTRE ST/BROOME ST,MTA_803192,0,MTA NYCT_6778,1
4,53.73147,MTA NYCT_OF_B8-Saturday_A_OF_39480_M1-121,12694.35,2018-04-07,MTA NYCT_OF_B8-Saturday-092900_M1_121,HARLEM 147 ST via MADISON,MTA_803003,0,12.18,2018-04-07T16:38:08.155-04:00,2018-04-07T16:38:08.155-04:00,MTA_M010182,40.818719,MTA NYCT_M1,-73.937384,True,MTA NYCT,,MTA_903130,at stop,normalProgress,,M1,2018-04-07T16:37:34.000-04:00,MALCOLM X BL/W 142 ST,MTA_404335,0,MTA NYCT_6761,1
5,54.106453,MTA NYCT_OF_B8-Saturday_A_OF_52260_M1-114,4972.64,2018-04-07,MTA NYCT_OF_B8-Saturday-096700_M1_114,HARLEM 147 ST via MADISON,MTA_803003,0,12.26,2018-04-07T16:38:08.155-04:00,2018-04-07T16:38:08.155-04:00,MTA_M010182,40.759577,MTA NYCT_M1,-73.974341,True,MTA NYCT,,MTA_903130,at stop,normalProgress,,M1,2018-04-07T16:37:48.000-04:00,MADISON AV/E 52 ST,MTA_400361,0,MTA NYCT_3888,1
6,49.23225,MTA NYCT_OF_B8-Saturday_A_OF_17820_M1-106,13730.36,2018-04-07,MTA NYCT_OF_B8-Saturday-091300_M1_126,GRAND STREET via 5 AV/BROADWAY,MTA_803192,1,26.3,2018-04-07T16:38:08.155-04:00,2018-04-07T16:38:08.155-04:00,MTA_M010187,40.720407,MTA NYCT_M1,-73.997989,True,MTA NYCT,2018-04-07T16:49:00.000-04:00,MTA_405284,at stop,noProgress,layover,M1,2018-04-07T16:37:58.000-04:00,CENTRE ST/BROOME ST,MTA_803192,0,MTA NYCT_3900,1
7,233.85141,MTA NYCT_OF_B8-Saturday_A_OF_46860_M1-110,5621.35,2018-04-07,MTA NYCT_OF_B8-Saturday-096900_M1_129,GRAND STREET via 5 AV/BROADWAY,MTA_803192,1,54.25,2018-04-07T16:38:08.530-04:00,2018-04-07T16:38:08.530-04:00,MTA_M010187,40.780829,MTA NYCT_M1,-73.96093,True,MTA NYCT,,MTA_405284,approaching,normalProgress,,M1,2018-04-07T16:37:48.000-04:00,5 AV/EAST 84 ST,MTA_400119,0,MTA NYCT_6772,1
8,53.85796,MTA NYCT_OF_B8-Saturday_A_OF_16020_M1-104,4575.39,2018-04-07,MTA NYCT_OF_B8-Saturday-096000_M1_117,HARLEM 147 ST via MADISON,MTA_803003,0,100.31,2018-04-07T16:38:17.033-04:00,2018-04-07T16:38:17.033-04:00,MTA_M010182,40.755755,MTA NYCT_M1,-73.977124,True,MTA NYCT,,MTA_903130,approaching,normalProgress,,M1,2018-04-07T16:37:53.000-04:00,MADISON AV/E 47 ST,MTA_400359,0,MTA NYCT_6783,1
9,53.861565,MTA NYCT_OF_B8-Saturday_A_OF_42480_M1-128,1358.32,2018-04-07,MTA NYCT_OF_B8-Saturday-099000_M1_139,HARLEM 147 ST via MADISON,MTA_803003,0,130.89,2018-04-07T16:38:33.323-04:00,2018-04-07T16:38:33.323-04:00,MTA_M010182,40.730265,MTA NYCT_M1,-73.990901,True,MTA NYCT,,MTA_903130,approaching,normalProgress,,M1,2018-04-07T16:37:44.000-04:00,4 AV/E 10 ST,MTA_400001,0,MTA NYCT_6764,1
10,233.44037,MTA NYCT_OF_B8-Saturday_A_OF_57420_M1-128,7172.01,2018-04-07,MTA NYCT_OF_B8-Saturday-096000_M1_128,GRAND STREET via 5 AV/BROADWAY,MTA_803192,1,132.42,2018-04-07T16:38:35.308-04:00,2018-04-07T16:38:35.308-04:00,MTA_M010187,40.769238,MTA NYCT_M1,-73.969387,True,MTA NYCT,,MTA_405284,approaching,normalProgress,,M1,2018-04-07T16:37:51.000-04:00,5 AV/E 65 ST,MTA_400126,0,MTA NYCT_3894,1
11,234.05466,MTA NYCT_OF_B8-Saturday_A_OF_26520_M1-104,11055.02,2018-04-07,MTA NYCT_OF_B8-Saturday-092300_M1_138,GRAND STREET via 5 AV/BROADWAY,MTA_803192,1,148.15,2018-04-07T16:38:27.556-04:00,2018-04-07T16:38:27.556-04:00,MTA_M010187,40.738799,MTA NYCT_M1,-73.991584,True,MTA NYCT,,MTA_405284,approaching,normalProgress,,M1,2018-04-07T16:37:51.000-04:00,5 AV/W 17 ST,MTA_400331,0,MTA NYCT_6751,1
12,233.89676,MTA NYCT_OF_B8-Saturday_A_OF_35400_M1-102,8706.37,2018-04-07,MTA NYCT_OF_B8-Saturday-094300_M1_140,GRAND STREET via 5 AV/BROADWAY,MTA_803192,1,148.57,2018-04-07T16:38:31.788-04:00,2018-04-07T16:38:31.788-04:00,MTA_M010187,40.75729,MTA NYCT_M1,-73.978109,True,MTA NYCT,,MTA_405284,approaching,normalProgress,,M1,2018-04-07T16:37:35.000-04:00,5 AV/W 47 ST,MTA_400516,0,MTA NYCT_3903,1
