uid,Date,time,travelTime
1353844055,04-07-18,16:00:29,387
1353844088,04-07-18,16:00:31,349
1353844099,04-07-18,16:00:32,399
1353844137,04-07-18,16:00:35,479
1353844232,04-07-18,16:00:40,423
1353844316,04-07-18,16:00:45,323
1353844417,04-07-18,16:00:52,243
1353845371,04-07-18,16:01:54,317
1353845469,04-07-18,16:02:00,469
1353845622,04-07-18,16:02:10,404
1353845711,04-07-18,16:02:15,332
1353845734,04-07-18,16:02:17,305
1353846912,04-07-18,16:03:32,303
1353846932,04-07-18,16:03:33,233
1353846957,04-07-18,16:03:34,220
1353846978,04-07-18,16:03:36,1330
1353847047,04-07-18,16:03:40,257
1353847066,04-07-18,16:03:41,235
1353847095,04-07-18,16:03:43,213
1353847365,04-07-18,16:04:02,245
1353848164,04-07-18,16:04:53,668
1353848344,04-07-18,16:05:05,343
1353848553,04-07-18,16:05:21,299
1353849885,04-07-18,16:06:44,333
1353851241,04-07-18,16:08:08,403
1353851229,04-07-18,16:08:08,414
1353851392,04-07-18,16:08:19,749
1353852468,04-07-18,16:09:26,488
1353852560,04-07-18,16:09:32,479
1353852809,04-07-18,16:09:47,405
1353852853,04-07-18,16:09:50,411
1353852878,04-07-18,16:09:52,429
1353853991,04-07-18,16:11:02,670
1353854032,04-07-18,16:11:04,556
1353854108,04-07-18,16:11:10,558
1353854165,04-07-18,16:11:15,392
1353854189,04-07-18,16:11:17,417
1353855300,04-07-18,16:12:24,647
1353855375,04-07-18,16:12:29,392
1353856921,04-07-18,16:14:11,480
1353856951,04-07-18,16:14:12,410
1353857066,04-07-18,16:14:20,428
1353857093,04-07-18,16:14:22,406
1353858151,04-07-18,16:15:28,762
1353858308,04-07-18,16:15:40,299
1353859524,04-07-18,16:16:55,312
1353859602,04-07-18,16:17:00,551
1353859738,04-07-18,16:17:10,392
1353859922,04-07-18,16:17:24,315
1353860984,04-07-18,16:18:26,405
1353861044,04-07-18,16:18:29,479
1353861238,04-07-18,16:18:42,318
1353861384,04-07-18,16:18:51,509
1353862354,04-07-18,16:19:55,286
1353862485,04-07-18,16:20:02,586
1353862613,04-07-18,16:20:09,265
