uid,Date,time,travelTime
1355742219,04-09-18,16:00:19,245
1355742256,04-09-18,16:00:20,233
1355742442,04-09-18,16:00:30,235
1355743130,04-09-18,16:01:14,631
1355743358,04-09-18,16:01:28,271
1355743421,04-09-18,16:01:32,443
1355743804,04-09-18,16:01:53,222
1355745106,04-09-18,16:03:11,287
1355745401,04-09-18,16:03:29,233
1355745432,04-09-18,16:03:31,243
1355746374,04-09-18,16:04:30,202
1355747016,04-09-18,16:05:10,706
1355747604,04-09-18,16:05:47,465
1355748099,04-09-18,16:06:17,313
1355749369,04-09-18,16:07:34,306
1355749794,04-09-18,16:08:01,193
1355749796,04-09-18,16:08:01,258
1355750837,04-09-18,16:09:07,307
1355750881,04-09-18,16:09:10,318
1355750927,04-09-18,16:09:13,300
1355750947,04-09-18,16:09:14,245
1355751238,04-09-18,16:09:34,238
1355752181,04-09-18,16:10:32,207
1355752238,04-09-18,16:10:35,213
1355753558,04-09-18,16:12:05,288
1355753765,04-09-18,16:12:16,311
1355753977,04-09-18,16:12:28,243
1355755035,04-09-18,16:13:41,389
1355755187,04-09-18,16:13:49,320
1355755289,04-09-18,16:13:55,321
1355755528,04-09-18,16:14:12,326
1355755605,04-09-18,16:14:16,953
1355756184,04-09-18,16:14:50,355
1355756272,04-09-18,16:14:55,328
1355756475,04-09-18,16:15:07,282
1355756535,04-09-18,16:15:10,443
1355756713,04-09-18,16:15:20,253
1355756823,04-09-18,16:15:27,233
1355756866,04-09-18,16:15:30,240
1355757935,04-09-18,16:16:34,297
1355758079,04-09-18,16:16:42,298
1355758222,04-09-18,16:16:50,309
1355758405,04-09-18,16:17:03,312
1355759263,04-09-18,16:17:56,809
1355759293,04-09-18,16:17:59,415
1355759370,04-09-18,16:18:03,353
1355759375,04-09-18,16:18:04,254
1355759766,04-09-18,16:18:26,287
1355760623,04-09-18,16:19:19,285
1355761231,04-09-18,16:19:54,231
1355761347,04-09-18,16:20:02,318
1355762283,04-09-18,16:20:58,272
1355762418,04-09-18,16:21:07,284
1355762492,04-09-18,16:21:11,233
1355762580,04-09-18,16:21:16,241
1355762811,04-09-18,16:21:31,230
1355763837,04-09-18,16:22:34,281
1355763900,04-09-18,16:22:39,284
1355764141,04-09-18,16:22:53,228
1355764167,04-09-18,16:22:55,224
1355764203,04-09-18,16:22:57,236
1355765399,04-09-18,16:24:11,223
1355765538,04-09-18,16:24:19,231
1355765786,04-09-18,16:24:34,219
1355766464,04-09-18,16:25:18,192
1355766639,04-09-18,16:25:28,289
1355766840,04-09-18,16:25:40,265
1355767042,04-09-18,16:25:53,146
1355768043,04-09-18,16:26:52,187
1355768146,04-09-18,16:26:58,131
1355768211,04-09-18,16:27:02,187
1355768254,04-09-18,16:27:04,203
1355768413,04-09-18,16:27:12,143
1355768447,04-09-18,16:27:14,159
1355768452,04-09-18,16:27:14,139
1355768489,04-09-18,16:27:16,183
1355768580,04-09-18,16:27:21,139
1355768632,04-09-18,16:27:25,140
1355770233,04-09-18,16:29:01,156
1355771117,04-09-18,16:30:02,219
1355771389,04-09-18,16:30:17,133
1355771641,04-09-18,16:30:31,420
1355772360,04-09-18,16:31:19,123
1355772418,04-09-18,16:31:23,284
1355772450,04-09-18,16:31:25,526
1355773418,04-09-18,16:32:23,990
1355774170,04-09-18,16:33:08,218
1355774286,04-09-18,16:33:15,273
1355774347,04-09-18,16:33:19,283
1355774466,04-09-18,16:33:26,147
1355775748,04-09-18,16:34:43,138
1355775810,04-09-18,16:34:46,256
1355775920,04-09-18,16:34:54,167
1355777405,04-09-18,16:36:23,160
1355778905,04-09-18,16:37:57,160
1355778924,04-09-18,16:37:58,234
1355779825,04-09-18,16:38:54,229
1355780065,04-09-18,16:39:11,202
1355781398,04-09-18,16:40:30,223
1355781585,04-09-18,16:40:40,208
1355781805,04-09-18,16:40:52,147
1355781857,04-09-18,16:40:56,142
1355782666,04-09-18,16:41:50,208
1355782969,04-09-18,16:42:07,263
1355783860,04-09-18,16:42:57,323
1355784276,04-09-18,16:43:24,269
1355784297,04-09-18,16:43:26,224
1355784522,04-09-18,16:43:40,216
1355784730,04-09-18,16:43:52,220
1355784759,04-09-18,16:43:54,226
1355784897,04-09-18,16:44:01,648
1355785729,04-09-18,16:44:52,291
1355785967,04-09-18,16:45:06,262
1355786185,04-09-18,16:45:18,223
1355786277,04-09-18,16:45:22,155
1355787502,04-09-18,16:46:36,227
1355787536,04-09-18,16:46:39,228
1355787546,04-09-18,16:46:39,212
1355787672,04-09-18,16:46:46,299
1355788186,04-09-18,16:47:17,475
1355788995,04-09-18,16:48:07,797
1355789192,04-09-18,16:48:17,277
1355789305,04-09-18,16:48:23,308
1355789379,04-09-18,16:48:27,231
1355789410,04-09-18,16:48:29,304
1355790509,04-09-18,16:49:37,267
1355790597,04-09-18,16:49:41,234
1355790792,04-09-18,16:49:54,231
1355790810,04-09-18,16:49:55,236
1355790930,04-09-18,16:50:02,244
1355790995,04-09-18,16:50:06,160
1355791847,04-09-18,16:50:54,516
1355792038,04-09-18,16:51:05,390
1355792105,04-09-18,16:51:10,225
1355792219,04-09-18,16:51:17,302
1355792273,04-09-18,16:51:21,243
1355792308,04-09-18,16:51:23,242
1355792333,04-09-18,16:51:25,243
1355792347,04-09-18,16:51:26,269
1355792413,04-09-18,16:51:30,239
1355793341,04-09-18,16:52:25,297
1355793566,04-09-18,16:52:35,602
1355793628,04-09-18,16:52:39,290
1355793781,04-09-18,16:52:48,234
1355793869,04-09-18,16:52:53,313
1355793994,04-09-18,16:53:00,317
1355795000,04-09-18,16:54:02,303
1355795055,04-09-18,16:54:04,287
1355795279,04-09-18,16:54:17,207
1355795433,04-09-18,16:54:27,226
1355796279,04-09-18,16:55:20,286
1355796505,04-09-18,16:55:33,289
1355796571,04-09-18,16:55:37,225
1355796627,04-09-18,16:55:40,579
1355796706,04-09-18,16:55:46,233
1355796781,04-09-18,16:55:49,224
1355796829,04-09-18,16:55:52,256
1355797218,04-09-18,16:56:15,230
1355799341,04-09-18,16:58:26,255
1355799479,04-09-18,16:58:34,322
1355799558,04-09-18,16:58:39,235
1355799574,04-09-18,16:58:40,152
1355799866,04-09-18,16:58:56,149
1355802339,04-09-18,17:01:32,224
1355802492,04-09-18,17:01:42,249
1355802577,04-09-18,17:01:47,182
1355802819,04-09-18,17:02:01,225
1355803614,04-09-18,17:02:50,199
1355803710,04-09-18,17:02:56,217
1355803881,04-09-18,17:03:06,287
1355805474,04-09-18,17:04:44,204
1355806562,04-09-18,17:05:54,266
1355807771,04-09-18,17:07:07,496
1355808294,04-09-18,17:07:40,270
1355808471,04-09-18,17:07:51,256
1355808579,04-09-18,17:07:57,234
1355808683,04-09-18,17:08:04,157
1355810205,04-09-18,17:09:35,240
1355810362,04-09-18,17:09:45,1220
1355811028,04-09-18,17:10:25,364
1355811200,04-09-18,17:10:35,515
1355811496,04-09-18,17:10:50,301
1355811610,04-09-18,17:10:58,329
1355811637,04-09-18,17:10:59,259
1355812437,04-09-18,17:11:52,272
1355812815,04-09-18,17:12:11,299
1355812881,04-09-18,17:12:14,415
1355812949,04-09-18,17:12:19,732
1355813085,04-09-18,17:12:27,288
1355813569,04-09-18,17:12:59,263
1355814124,04-09-18,17:13:30,302
1355814297,04-09-18,17:13:41,301
1355814566,04-09-18,17:13:57,282
1355815456,04-09-18,17:14:52,295
1355815682,04-09-18,17:15:07,272
1355815731,04-09-18,17:15:09,220
1355815733,04-09-18,17:15:09,308
1355817132,04-09-18,17:16:41,286
1355817283,04-09-18,17:16:52,241
1355818419,04-09-18,17:18:04,375
1355818755,04-09-18,17:18:26,278
1355819410,04-09-18,17:19:03,525
1355819871,04-09-18,17:19:31,286
1355819861,04-09-18,17:19:31,240
1355820199,04-09-18,17:19:54,280
1355820245,04-09-18,17:19:56,241
1355821583,04-09-18,17:21:18,246
1355821720,04-09-18,17:21:26,240
1355822459,04-09-18,17:22:16,243
1355822966,04-09-18,17:22:48,292
1355822973,04-09-18,17:22:49,229
1355823092,04-09-18,17:22:56,307
1355823109,04-09-18,17:22:57,306
1355823956,04-09-18,17:23:52,289
1355824013,04-09-18,17:23:55,278
1355824085,04-09-18,17:23:59,285
1355824292,04-09-18,17:24:10,270
1355824364,04-09-18,17:24:15,243
1355824590,04-09-18,17:24:30,244
1355824658,04-09-18,17:24:35,238
1355825417,04-09-18,17:25:24,395
1355825459,04-09-18,17:25:26,367
1355825563,04-09-18,17:25:32,317
1355825584,04-09-18,17:25:34,305
1355825725,04-09-18,17:25:44,223
1355825788,04-09-18,17:25:47,275
1355825947,04-09-18,17:25:56,195
1355826915,04-09-18,17:26:56,357
1355827138,04-09-18,17:27:12,172
1355827335,04-09-18,17:27:24,126
1355828524,04-09-18,17:28:36,377
1355828611,04-09-18,17:28:41,199
1355828697,04-09-18,17:28:46,384
1355828888,04-09-18,17:28:58,393
1355828898,04-09-18,17:28:59,243
1355829422,04-09-18,17:29:34,1133
1355829783,04-09-18,17:29:56,376
1355829959,04-09-18,17:30:03,367
1355830046,04-09-18,17:30:09,250
1355830165,04-09-18,17:30:14,264
1355831347,04-09-18,17:31:24,297
1355831625,04-09-18,17:31:42,269
1355831882,04-09-18,17:31:58,322
1355833199,04-09-18,17:33:21,409
1355833324,04-09-18,17:33:29,222
1355833378,04-09-18,17:33:32,771
1355833422,04-09-18,17:33:36,224
1355833528,04-09-18,17:33:44,687
1355834136,04-09-18,17:34:20,295
1355834237,04-09-18,17:34:26,383
1355834354,04-09-18,17:34:32,378
1355834604,04-09-18,17:34:47,293
1355834651,04-09-18,17:34:50,263
1355834745,04-09-18,17:34:57,334
1355834805,04-09-18,17:35:01,340
1355835903,04-09-18,17:36:11,316
1355835922,04-09-18,17:36:12,311
1355835942,04-09-18,17:36:13,319
1355836231,04-09-18,17:36:29,398
1355836597,04-09-18,17:36:52,264
1355837359,04-09-18,17:37:42,294
1355837665,04-09-18,17:38:01,349
1355838769,04-09-18,17:39:09,375
1355838996,04-09-18,17:39:25,232
1355839096,04-09-18,17:39:31,266
1355839969,04-09-18,17:40:26,373
1355839999,04-09-18,17:40:27,207
1355840196,04-09-18,17:40:38,379
1355840296,04-09-18,17:40:43,383
1355840588,04-09-18,17:41:00,288
1355840609,04-09-18,17:41:01,343
1355840740,04-09-18,17:41:09,352
1355841259,04-09-18,17:41:47,266
1355841770,04-09-18,17:42:13,407
1355841956,04-09-18,17:42:26,338
1355843002,04-09-18,17:43:34,318
1355843197,04-09-18,17:43:46,362
1355843227,04-09-18,17:43:47,313
1355843346,04-09-18,17:43:53,314
1355843444,04-09-18,17:43:59,272
1355843677,04-09-18,17:44:13,276
1355844585,04-09-18,17:45:08,319
1355844725,04-09-18,17:45:17,372
1355844876,04-09-18,17:45:27,256
1355846403,04-09-18,17:46:56,299
1355846421,04-09-18,17:46:57,144
1355846495,04-09-18,17:47:02,176
1355847433,04-09-18,17:48:05,322
1355847493,04-09-18,17:48:09,324
1355847725,04-09-18,17:48:23,150
1355847747,04-09-18,17:48:24,188
1355847760,04-09-18,17:48:25,322
1355848730,04-09-18,17:49:26,219
1355848944,04-09-18,17:49:38,290
1355849018,04-09-18,17:49:44,199
1355849103,04-09-18,17:49:50,156
1355849240,04-09-18,17:49:57,147
1355849276,04-09-18,17:49:59,234
1355849353,04-09-18,17:50:04,308
1355850246,04-09-18,17:50:59,297
1355850387,04-09-18,17:51:10,211
1355850475,04-09-18,17:51:15,120
1355850623,04-09-18,17:51:25,247
1355850666,04-09-18,17:51:28,225
1355850711,04-09-18,17:51:31,152
1355850741,04-09-18,17:51:33,231
1355851503,04-09-18,17:52:23,198
1355851631,04-09-18,17:52:31,189
1355851780,04-09-18,17:52:41,134
1355851929,04-09-18,17:52:49,126
1355853167,04-09-18,17:54:08,141
1355853187,04-09-18,17:54:09,180
1355853292,04-09-18,17:54:15,140
1355853364,04-09-18,17:54:19,140
1355853428,04-09-18,17:54:23,148
1355853568,04-09-18,17:54:31,57
1355854190,04-09-18,17:55:12,917
1355854506,04-09-18,17:55:32,139
1355854838,04-09-18,17:55:52,124
1355855302,04-09-18,17:56:26,858
1355855852,04-09-18,17:56:58,113
1355855908,04-09-18,17:57:02,121
1355856073,04-09-18,17:57:13,117
1355856266,04-09-18,17:57:26,127
1355857330,04-09-18,17:58:34,266
1355857384,04-09-18,17:58:37,197
1355857601,04-09-18,17:58:50,152
1355857634,04-09-18,17:58:51,148
1355858524,04-09-18,17:59:51,193
1355858691,04-09-18,17:59:59,198
1355859056,04-09-18,18:00:21,206
1355859231,04-09-18,18:00:30,197
1355860095,04-09-18,18:01:30,184
1355860218,04-09-18,18:01:39,330
