uid,Date,time,travelTime
1354793212,04-08-18,16:00:36,284
1354793427,04-08-18,16:00:51,401
1354793609,04-08-18,16:01:06,242
1354794441,04-08-18,16:02:03,295
1354794920,04-08-18,16:02:35,234
1354795722,04-08-18,16:03:31,287
1354796118,04-08-18,16:03:57,237
1354796127,04-08-18,16:03:58,218
1354796195,04-08-18,16:04:02,451
1354796217,04-08-18,16:04:04,591
1354796241,04-08-18,16:04:06,242
1354797160,04-08-18,16:05:02,574
1354797265,04-08-18,16:05:09,864
1354797513,04-08-18,16:05:30,242
1354797539,04-08-18,16:05:32,314
1354797573,04-08-18,16:05:35,242
1354798534,04-08-18,16:06:37,296
1354798566,04-08-18,16:06:39,299
1354798611,04-08-18,16:06:42,308
1354798627,04-08-18,16:06:43,668
1354798697,04-08-18,16:06:47,219
1354798706,04-08-18,16:06:48,231
1354798824,04-08-18,16:06:56,220
1354798961,04-08-18,16:07:06,692
1354799812,04-08-18,16:08:05,278
1354799878,04-08-18,16:08:10,244
1354799975,04-08-18,16:08:16,205
1354800108,04-08-18,16:08:25,242
1354801307,04-08-18,16:09:47,238
1354801319,04-08-18,16:09:48,291
1354801362,04-08-18,16:09:51,592
1354801379,04-08-18,16:09:53,232
1354802629,04-08-18,16:11:12,226
1354802765,04-08-18,16:11:24,217
1354803945,04-08-18,16:12:39,213
1354804000,04-08-18,16:12:42,206
1354805310,04-08-18,16:14:09,621
1354805361,04-08-18,16:14:12,588
1354805455,04-08-18,16:14:19,295
1354805484,04-08-18,16:14:21,232
1354805511,04-08-18,16:14:23,220
1354806783,04-08-18,16:15:52,211
1354806870,04-08-18,16:15:58,696
1354807052,04-08-18,16:16:09,251
1354807895,04-08-18,16:17:03,666
1354808090,04-08-18,16:17:20,300
1354808126,04-08-18,16:17:22,309
1354808120,04-08-18,16:17:22,304
1354808148,04-08-18,16:17:24,302
1354809152,04-08-18,16:18:32,311
1354809274,04-08-18,16:18:40,292
1354809317,04-08-18,16:18:43,327
1354809344,04-08-18,16:18:44,303
1354809441,04-08-18,16:18:50,234
1354809463,04-08-18,16:18:51,299
1354809693,04-08-18,16:19:08,242
1354810480,04-08-18,16:20:04,304
1354810618,04-08-18,16:20:13,708
1354810756,04-08-18,16:20:23,331
1354810776,04-08-18,16:20:25,251
1354810822,04-08-18,16:20:28,590
1354810854,04-08-18,16:20:29,362
1354811829,04-08-18,16:21:34,562
1354811865,04-08-18,16:21:37,214
1354811894,04-08-18,16:21:39,320
1354811929,04-08-18,16:21:42,810
1354812159,04-08-18,16:22:00,227
1354813466,04-08-18,16:23:23,247
1354814514,04-08-18,16:24:31,302
1354814563,04-08-18,16:24:35,334
1354814660,04-08-18,16:24:41,300
1354814678,04-08-18,16:24:42,210
1354814781,04-08-18,16:24:50,240
1354815936,04-08-18,16:26:11,227
1354816006,04-08-18,16:26:17,218
1354817115,04-08-18,16:27:32,299
1354817342,04-08-18,16:27:48,491
1354817392,04-08-18,16:27:52,233
1354817420,04-08-18,16:27:54,691
1354817502,04-08-18,16:27:59,275
1354817522,04-08-18,16:28:00,603
1354817541,04-08-18,16:28:02,223
1354818554,04-08-18,16:29:03,286
1354818924,04-08-18,16:29:36,261
1354818939,04-08-18,16:29:37,170
1354818956,04-08-18,16:29:38,218
1354819868,04-08-18,16:30:36,213
1354819909,04-08-18,16:30:38,216
1354819929,04-08-18,16:30:39,218
1354819936,04-08-18,16:30:40,203
1354819977,04-08-18,16:30:43,216
