uid,Date,time,travelTime
1358480942,04-12-18,16:00:07,162
1358481052,04-12-18,16:00:14,146
1358481104,04-12-18,16:00:17,77
1358483483,04-12-18,16:02:55,162
1358483506,04-12-18,16:02:56,156
1358483534,04-12-18,16:02:58,183
1358484755,04-12-18,16:04:25,758
1358485263,04-12-18,16:04:55,588
1358486070,04-12-18,16:05:55,139
1358486355,04-12-18,16:06:14,99
1358486462,04-12-18,16:06:20,195
1358486502,04-12-18,16:06:22,102
1358487232,04-12-18,16:07:12,133
1358487310,04-12-18,16:07:17,148
1358487334,04-12-18,16:07:18,173
1358487648,04-12-18,16:07:39,76
1358487767,04-12-18,16:07:48,82
1358487811,04-12-18,16:07:51,74
1358487840,04-12-18,16:07:53,496
1358488968,04-12-18,16:09:10,157
1358490052,04-12-18,16:10:29,142
1358490078,04-12-18,16:10:31,166
1358490162,04-12-18,16:10:36,150
1358490294,04-12-18,16:10:44,278
1358490338,04-12-18,16:10:48,119
1358490349,04-12-18,16:10:48,100
1358490383,04-12-18,16:10:50,100
1358491054,04-12-18,16:11:41,145
1358491166,04-12-18,16:11:49,141
1358491432,04-12-18,16:12:10,155
1358491577,04-12-18,16:12:19,96
1358491641,04-12-18,16:12:24,106
1358492604,04-12-18,16:13:31,175
1358492632,04-12-18,16:13:33,159
1358492630,04-12-18,16:13:33,105
1358492828,04-12-18,16:13:47,87
1358492883,04-12-18,16:13:51,76
1358494001,04-12-18,16:15:10,91
1358494035,04-12-18,16:15:13,92
1358494077,04-12-18,16:15:16,953
1358494121,04-12-18,16:15:19,97
1358495228,04-12-18,16:16:36,162
1358495259,04-12-18,16:16:38,153
1358495330,04-12-18,16:16:42,154
1358495533,04-12-18,16:16:56,105
1358496427,04-12-18,16:18:00,163
1358496588,04-12-18,16:18:11,465
1358496676,04-12-18,16:18:17,179
1358496748,04-12-18,16:18:21,92
1358497502,04-12-18,16:19:13,158
1358497769,04-12-18,16:19:31,102
1358497782,04-12-18,16:19:32,86
1358498051,04-12-18,16:19:49,863
1358498084,04-12-18,16:19:51,93
1358498149,04-12-18,16:19:56,108
1358498965,04-12-18,16:20:47,140
1358499002,04-12-18,16:20:49,132
1358499096,04-12-18,16:20:54,162
1358499368,04-12-18,16:21:14,158
1358499386,04-12-18,16:21:15,157
1358500499,04-12-18,16:22:33,160
1358500835,04-12-18,16:22:52,100
1358502020,04-12-18,16:24:12,159
1358502177,04-12-18,16:24:22,160
1358503004,04-12-18,16:25:19,222
1358503174,04-12-18,16:25:30,173
1358503200,04-12-18,16:25:32,167
1358503376,04-12-18,16:25:44,173
1358503388,04-12-18,16:25:44,167
1358503426,04-12-18,16:25:47,174
1358503531,04-12-18,16:25:53,171
1358503549,04-12-18,16:25:54,166
1358504559,04-12-18,16:27:07,174
1358504608,04-12-18,16:27:10,164
1358504630,04-12-18,16:27:11,152
1358504649,04-12-18,16:27:13,163
1358504746,04-12-18,16:27:19,98
1358505532,04-12-18,16:28:14,137
1358505589,04-12-18,16:28:18,446
1358505890,04-12-18,16:28:37,84
1358505948,04-12-18,16:28:41,82
1358506092,04-12-18,16:28:47,67
1358507440,04-12-18,16:30:17,84
1358508517,04-12-18,16:31:28,426
1358508561,04-12-18,16:31:30,142
1358508598,04-12-18,16:31:33,282
1358508765,04-12-18,16:31:45,111
1358508788,04-12-18,16:31:46,96
1358508822,04-12-18,16:31:48,96
1358508837,04-12-18,16:31:49,90
1358508890,04-12-18,16:31:52,87
1358509746,04-12-18,16:32:46,219
1358509928,04-12-18,16:32:57,164
1358510194,04-12-18,16:33:15,88
1358510246,04-12-18,16:33:19,87
1358510276,04-12-18,16:33:21,87
1358510332,04-12-18,16:33:26,88
1358510356,04-12-18,16:33:28,596
1358511096,04-12-18,16:34:19,147
1358511459,04-12-18,16:34:41,94
1358511713,04-12-18,16:34:55,88
1358512413,04-12-18,16:35:44,130
1358512604,04-12-18,16:35:56,141
1358512733,04-12-18,16:36:02,144
1358513031,04-12-18,16:36:20,118
1358513053,04-12-18,16:36:22,90
1358513100,04-12-18,16:36:25,94
1358514408,04-12-18,16:37:52,95
1358515458,04-12-18,16:38:56,134
1358515486,04-12-18,16:38:58,144
1358515535,04-12-18,16:39:01,167
1358515650,04-12-18,16:39:09,170
1358515668,04-12-18,16:39:11,152
1358515712,04-12-18,16:39:14,114
1358515774,04-12-18,16:39:18,77
1358515787,04-12-18,16:39:19,95
1358515816,04-12-18,16:39:21,99
1358515831,04-12-18,16:39:22,85
1358516679,04-12-18,16:40:19,1033
1358517084,04-12-18,16:40:41,108
1358517167,04-12-18,16:40:46,75
1358518629,04-12-18,16:42:20,114
1358519785,04-12-18,16:43:40,81
1358520039,04-12-18,16:43:55,88
1358520072,04-12-18,16:43:56,95
1358520891,04-12-18,16:44:49,140
1358520949,04-12-18,16:44:52,133
1358521155,04-12-18,16:45:06,149
1358521284,04-12-18,16:45:16,187
1358521346,04-12-18,16:45:20,104
1358522325,04-12-18,16:46:26,150
1358522380,04-12-18,16:46:30,188
1358522424,04-12-18,16:46:32,84
1358522462,04-12-18,16:46:35,79
1358522766,04-12-18,16:46:53,77
1358523704,04-12-18,16:47:57,147
1358523872,04-12-18,16:48:07,75
1358523926,04-12-18,16:48:11,110
1358523936,04-12-18,16:48:11,85
1358525207,04-12-18,16:49:38,107
1358525247,04-12-18,16:49:40,89
1358525323,04-12-18,16:49:45,98
1358525371,04-12-18,16:49:48,82
1358525436,04-12-18,16:49:51,94
1358525558,04-12-18,16:49:57,88
1358526666,04-12-18,16:51:07,173
1358526742,04-12-18,16:51:12,107
1358528286,04-12-18,16:52:50,119
1358528349,04-12-18,16:52:53,120
1358528361,04-12-18,16:52:54,119
1358528991,04-12-18,16:53:35,1422
1358529085,04-12-18,16:53:43,166
1358529290,04-12-18,16:53:55,142
1358529390,04-12-18,16:54:00,142
1358529530,04-12-18,16:54:09,93
1358529583,04-12-18,16:54:12,76
1358529695,04-12-18,16:54:19,99
1358529747,04-12-18,16:54:22,84
1358530627,04-12-18,16:55:20,177
1358530901,04-12-18,16:55:39,109
1358530942,04-12-18,16:55:42,89
1358530972,04-12-18,16:55:43,93
1358530996,04-12-18,16:55:45,97
1358531010,04-12-18,16:55:46,91
1358531097,04-12-18,16:55:52,93
1358532168,04-12-18,16:57:05,154
1358532326,04-12-18,16:57:15,157
1358532353,04-12-18,16:57:17,74
1358532388,04-12-18,16:57:20,74
1358533207,04-12-18,16:58:19,337
1358533475,04-12-18,16:58:36,86
1358533533,04-12-18,16:58:39,83
1358533584,04-12-18,16:58:43,95
1358533685,04-12-18,16:58:50,80
1358533768,04-12-18,16:58:55,93
1358533789,04-12-18,16:58:56,84
1358533817,04-12-18,16:58:58,78
1358534385,04-12-18,16:59:41,123
1358535065,04-12-18,17:00:23,121
1358535115,04-12-18,17:00:26,90
1358535788,04-12-18,17:01:12,130
1358536159,04-12-18,17:01:36,90
1358536227,04-12-18,17:01:40,91
1358537290,04-12-18,17:02:49,224
1358537573,04-12-18,17:03:08,81
1358537600,04-12-18,17:03:10,65
1358537707,04-12-18,17:03:17,75
1358537792,04-12-18,17:03:22,74
1358537854,04-12-18,17:03:27,79
1358538959,04-12-18,17:04:40,110
1358539023,04-12-18,17:04:44,112
1358539875,04-12-18,17:05:47,173
1358539869,04-12-18,17:05:47,148
1358539965,04-12-18,17:05:53,135
1358540055,04-12-18,17:05:58,96
1358540258,04-12-18,17:06:09,91
1358540306,04-12-18,17:06:12,89
1358540406,04-12-18,17:06:17,81
1358540435,04-12-18,17:06:20,70
1358541592,04-12-18,17:07:38,108
1358541613,04-12-18,17:07:39,71
1358541650,04-12-18,17:07:41,84
1358541664,04-12-18,17:07:42,95
1358542896,04-12-18,17:09:00,154
1358543238,04-12-18,17:09:23,87
1358544367,04-12-18,17:10:37,171
1358544558,04-12-18,17:10:50,121
1358544588,04-12-18,17:10:52,116
1358544633,04-12-18,17:10:55,103
1358544660,04-12-18,17:10:56,108
1358544692,04-12-18,17:10:58,89
1358545636,04-12-18,17:12:04,158
1358545908,04-12-18,17:12:20,102
1358545930,04-12-18,17:12:22,102
1358545946,04-12-18,17:12:22,100
1358546007,04-12-18,17:12:26,125
1358546046,04-12-18,17:12:29,102
1358546703,04-12-18,17:13:15,141
1358546715,04-12-18,17:13:17,129
1358546933,04-12-18,17:13:31,100
1358547061,04-12-18,17:13:40,105
1358548405,04-12-18,17:15:09,66
1358548558,04-12-18,17:15:19,88
1358548628,04-12-18,17:15:23,76
1358548681,04-12-18,17:15:26,76
1358549357,04-12-18,17:16:17,1104
1358549433,04-12-18,17:16:22,163
1358549741,04-12-18,17:16:41,111
1358549786,04-12-18,17:16:45,109
1358549854,04-12-18,17:16:49,106
1358549953,04-12-18,17:16:57,115
1358550492,04-12-18,17:17:43,154
1358550517,04-12-18,17:17:44,141
1358550841,04-12-18,17:18:04,170
1358550893,04-12-18,17:18:07,153
1358550966,04-12-18,17:18:11,166
1358551052,04-12-18,17:18:16,117
1358551065,04-12-18,17:18:17,100
1358551093,04-12-18,17:18:19,97
1358551148,04-12-18,17:18:22,89
1358551864,04-12-18,17:19:12,130
1358551880,04-12-18,17:19:13,129
1358552140,04-12-18,17:19:31,142
1358552233,04-12-18,17:19:39,148
1358552451,04-12-18,17:19:54,167
1358553759,04-12-18,17:21:21,174
1358553845,04-12-18,17:21:27,176
1358553896,04-12-18,17:21:30,214
1358553931,04-12-18,17:21:33,218
1358554895,04-12-18,17:22:34,236
1358555015,04-12-18,17:22:41,172
1358555090,04-12-18,17:22:46,206
1358555085,04-12-18,17:22:46,250
1358555128,04-12-18,17:22:48,205
1358555187,04-12-18,17:22:52,160
1358555244,04-12-18,17:22:55,186
1358556140,04-12-18,17:23:59,159
1358556555,04-12-18,17:24:23,166
1358556583,04-12-18,17:24:24,255
1358556645,04-12-18,17:24:27,217
1358556630,04-12-18,17:24:27,1606
1358557456,04-12-18,17:25:21,161
1358557508,04-12-18,17:25:25,162
1358557581,04-12-18,17:25:29,167
1358557588,04-12-18,17:25:30,157
1358557751,04-12-18,17:25:41,156
1358557849,04-12-18,17:25:47,159
1358557901,04-12-18,17:25:50,497
1358557925,04-12-18,17:25:52,163
1358558947,04-12-18,17:26:57,169
1358559303,04-12-18,17:27:18,164
1358559505,04-12-18,17:27:31,114
1358560422,04-12-18,17:28:35,154
1358560468,04-12-18,17:28:39,160
1358560543,04-12-18,17:28:42,166
1358560752,04-12-18,17:28:54,816
1358561675,04-12-18,17:29:59,166
1358561766,04-12-18,17:30:04,147
1358561786,04-12-18,17:30:06,159
1358561821,04-12-18,17:30:08,160
1358561868,04-12-18,17:30:11,151
1358561940,04-12-18,17:30:16,162
1358563122,04-12-18,17:31:33,191
1358563181,04-12-18,17:31:37,172
1358563226,04-12-18,17:31:40,183
1358563269,04-12-18,17:31:43,185
1358563320,04-12-18,17:31:47,178
1358563381,04-12-18,17:31:50,166
1358563440,04-12-18,17:31:53,105
1358564259,04-12-18,17:32:47,131
1358564288,04-12-18,17:32:48,129
1358564352,04-12-18,17:32:52,133
1358564519,04-12-18,17:33:02,141
1358565795,04-12-18,17:34:32,170
1358565812,04-12-18,17:34:34,165
1358565863,04-12-18,17:34:37,174
1358565988,04-12-18,17:34:44,203
1358567087,04-12-18,17:36:02,166
1358567190,04-12-18,17:36:09,198
1358567269,04-12-18,17:36:14,175
1358567354,04-12-18,17:36:19,173
1358567614,04-12-18,17:36:34,135
1358568092,04-12-18,17:37:07,933
