uid,Date,time,travelTime
1352826019,04-06-18,16:01:15,220
1352826545,04-06-18,16:01:46,147
1352827862,04-06-18,16:03:05,132
1352828022,04-06-18,16:03:15,120
1352829062,04-06-18,16:04:20,181
1352832256,04-06-18,16:07:44,133
1352832505,04-06-18,16:07:58,250
1352833418,04-06-18,16:08:55,131
1352833737,04-06-18,16:09:13,142
1352833741,04-06-18,16:09:13,333
1352833877,04-06-18,16:09:22,59
1352835064,04-06-18,16:10:39,153
1352835114,04-06-18,16:10:42,127
1352837681,04-06-18,16:13:21,308
1352839042,04-06-18,16:14:48,204
1352839385,04-06-18,16:15:08,140
1352841963,04-06-18,16:17:49,200
1352842154,04-06-18,16:18:00,210
1352843383,04-06-18,16:19:13,209
1352843820,04-06-18,16:19:40,231
1352845276,04-06-18,16:21:10,151
1352846182,04-06-18,16:22:11,215
1352846541,04-06-18,16:22:31,215
1352846540,04-06-18,16:22:31,287
1352847855,04-06-18,16:23:55,228
1352848133,04-06-18,16:24:11,229
1352849450,04-06-18,16:25:33,238
1352850627,04-06-18,16:26:42,908
1352850677,04-06-18,16:26:45,199
1352851280,04-06-18,16:27:21,149
1352852675,04-06-18,16:28:46,146
1352854113,04-06-18,16:30:17,235
1352854183,04-06-18,16:30:22,225
1352855294,04-06-18,16:31:28,286
1352855509,04-06-18,16:31:42,207
1352856491,04-06-18,16:32:42,217
1352856945,04-06-18,16:33:08,219
1352857108,04-06-18,16:33:18,218
1352858124,04-06-18,16:34:22,208
1352858123,04-06-18,16:34:22,152
1352861066,04-06-18,16:37:18,277
1352864013,04-06-18,16:40:17,998
1352865435,04-06-18,16:41:41,276
1352865862,04-06-18,16:42:06,231
1352867187,04-06-18,16:43:25,301
1352868751,04-06-18,16:44:55,276
1352872040,04-06-18,16:48:15,308
1352873152,04-06-18,16:49:22,311
1352873233,04-06-18,16:49:28,232
1352873354,04-06-18,16:49:36,1561
1352874495,04-06-18,16:50:50,204
1352875911,04-06-18,16:52:19,288
1352877786,04-06-18,16:54:16,213
1352880195,04-06-18,16:56:43,265
1352881974,04-06-18,16:58:34,286
1352882053,04-06-18,16:58:39,239
1352883074,04-06-18,16:59:45,293
1352883237,04-06-18,16:59:54,276
1352883251,04-06-18,16:59:55,219
1352883519,04-06-18,17:00:10,225
1352883586,04-06-18,17:00:14,387
1352883679,04-06-18,17:00:18,142
1352884578,04-06-18,17:01:16,220
1352884745,04-06-18,17:01:26,281
1352885049,04-06-18,17:01:46,213
1352885050,04-06-18,17:01:46,230
1352885110,04-06-18,17:01:49,227
1352885169,04-06-18,17:01:53,218
1352886194,04-06-18,17:02:56,281
1352887013,04-06-18,17:03:49,251
1352889302,04-06-18,17:06:15,227
1352890448,04-06-18,17:07:21,127
1352890735,04-06-18,17:07:37,201
1352891824,04-06-18,17:08:40,285
1352893326,04-06-18,17:10:11,283
1352893464,04-06-18,17:10:19,119
1352893865,04-06-18,17:10:41,230
1352895165,04-06-18,17:12:01,208
1352895252,04-06-18,17:12:06,143
1352896505,04-06-18,17:13:17,186
1352896623,04-06-18,17:13:24,133
1352896713,04-06-18,17:13:29,195
1352896766,04-06-18,17:13:32,130
1352897052,04-06-18,17:13:50,67
1352898261,04-06-18,17:14:58,121
1352899103,04-06-18,17:15:54,160
1352899770,04-06-18,17:16:33,122
1352903054,04-06-18,17:19:44,153
1352903102,04-06-18,17:19:47,153
1352904061,04-06-18,17:20:42,179
1352905667,04-06-18,17:22:20,132
1352905779,04-06-18,17:22:26,194
1352906088,04-06-18,17:22:42,416
1352906197,04-06-18,17:22:49,135
1352906217,04-06-18,17:22:50,141
1352907794,04-06-18,17:24:22,118
1352908864,04-06-18,17:25:25,215
1352908989,04-06-18,17:25:32,214
1352909181,04-06-18,17:25:44,223
1352910242,04-06-18,17:26:46,196
1352910393,04-06-18,17:26:55,213
1352910506,04-06-18,17:27:02,145
1352910605,04-06-18,17:27:08,297
1352910961,04-06-18,17:27:28,115
1352912170,04-06-18,17:28:40,143
1352913396,04-06-18,17:29:54,207
1352913675,04-06-18,17:30:10,155
1352914747,04-06-18,17:31:12,184
1352915312,04-06-18,17:31:45,141
1352915372,04-06-18,17:31:49,130
1352915515,04-06-18,17:31:56,135
1352917018,04-06-18,17:33:25,141
1352918387,04-06-18,17:34:46,224
1352919712,04-06-18,17:36:02,564
1352919831,04-06-18,17:36:09,243
1352919923,04-06-18,17:36:14,141
1352921654,04-06-18,17:37:56,240
1352923006,04-06-18,17:39:16,146
1352925996,04-06-18,17:42:21,225
