uid,Date,time,travelTime
1352828547,04-06-18,16:03:48,301
1352828919,04-06-18,16:04:10,267
1352830174,04-06-18,16:05:35,242
1352832009,04-06-18,16:07:26,1501
1352832911,04-06-18,16:08:23,288
1352832950,04-06-18,16:08:26,213
1352838778,04-06-18,16:14:30,220
1352841676,04-06-18,16:17:29,295
1352847443,04-06-18,16:23:26,328
1352847592,04-06-18,16:23:36,226
1352847684,04-06-18,16:23:45,232
1352849117,04-06-18,16:25:12,262
1352850545,04-06-18,16:26:37,263
1352850623,04-06-18,16:26:42,236
1352853368,04-06-18,16:29:33,265
1352856447,04-06-18,16:32:39,206
1352861985,04-06-18,16:38:15,212
1352863672,04-06-18,16:39:56,293
1352869397,04-06-18,16:45:36,191
1352874272,04-06-18,16:50:35,142
1352875519,04-06-18,16:51:56,141
1352877275,04-06-18,16:53:47,400
1352878439,04-06-18,16:54:52,199
1352879728,04-06-18,16:56:16,124
1352880223,04-06-18,16:56:45,137
1352881378,04-06-18,16:57:59,145
1352881411,04-06-18,16:58:02,137
1352881513,04-06-18,16:58:07,127
1352881593,04-06-18,16:58:13,145
1352887567,04-06-18,17:04:25,151
1352888357,04-06-18,17:05:14,191
1352888578,04-06-18,17:05:28,232
1352889203,04-06-18,17:06:09,1788
1352889925,04-06-18,17:06:51,228
1352891665,04-06-18,17:08:31,220
1352896044,04-06-18,17:12:48,195
1352896125,04-06-18,17:12:53,133
1352896182,04-06-18,17:12:57,1205
1352900973,04-06-18,17:17:43,236
1352905271,04-06-18,17:21:58,279
1352906527,04-06-18,17:23:07,287
1352908992,04-06-18,17:25:33,329
1352909733,04-06-18,17:26:14,367
1352910187,04-06-18,17:26:43,310
1352911091,04-06-18,17:27:35,320
1352912816,04-06-18,17:29:16,315
1352913015,04-06-18,17:29:29,396
1352914754,04-06-18,17:31:12,421
1352915687,04-06-18,17:32:06,268
1352916425,04-06-18,17:32:47,222
1352917404,04-06-18,17:33:49,362
1352917461,04-06-18,17:33:53,304
1352920693,04-06-18,17:36:58,218
1352922340,04-06-18,17:38:36,214
1352925280,04-06-18,17:41:40,237
1352929508,04-06-18,17:45:45,216
1352929769,04-06-18,17:46:01,366
1352929988,04-06-18,17:46:13,401
1352931360,04-06-18,17:47:34,233
1352931524,04-06-18,17:47:45,317
1352935975,04-06-18,17:52:14,304
1352936996,04-06-18,17:53:16,296
1352939937,04-06-18,17:56:13,305
1352940488,04-06-18,17:56:46,1616
1352941389,04-06-18,17:57:36,362
1352941809,04-06-18,17:58:03,398
1352943490,04-06-18,17:59:46,309
1352946193,04-06-18,18:02:26,1287
1352946322,04-06-18,18:02:35,365
1352949266,04-06-18,18:05:30,422
1352949309,04-06-18,18:05:32,322
1352950546,04-06-18,18:06:40,394
1352950614,04-06-18,18:06:44,814
1352950786,04-06-18,18:06:54,299
1352952068,04-06-18,18:08:14,386
1352952316,04-06-18,18:08:29,379
1352956276,04-06-18,18:12:32,448
1352956762,04-06-18,18:13:01,441
1352957996,04-06-18,18:14:16,287
1352961545,04-06-18,18:17:49,339
1352961881,04-06-18,18:18:07,157
1352963981,04-06-18,18:20:13,303
1352967148,04-06-18,18:23:31,354
1352967168,04-06-18,18:23:33,311
1352969892,04-06-18,18:26:17,832
1352971259,04-06-18,18:27:41,316
1352971563,04-06-18,18:28:01,224
1352971620,04-06-18,18:28:05,327
1352971652,04-06-18,18:28:06,184
1352973270,04-06-18,18:29:43,132
1352974635,04-06-18,18:30:59,233
1352974907,04-06-18,18:31:14,279
1352975940,04-06-18,18:32:14,368
1352976012,04-06-18,18:32:18,278
1352977261,04-06-18,18:33:35,367
1352979103,04-06-18,18:35:26,219
1352981898,04-06-18,18:38:20,313
1352985965,04-06-18,18:42:39,370
1352987787,04-06-18,18:44:35,211
1352989274,04-06-18,18:46:05,405
1352990295,04-06-18,18:47:04,362
1352990834,04-06-18,18:47:40,304
1352990868,04-06-18,18:47:43,331
1352990885,04-06-18,18:47:44,250
1352993333,04-06-18,18:50:19,219
1352995046,04-06-18,18:52:03,146
1352996416,04-06-18,18:53:24,559
1352997772,04-06-18,18:54:47,213
1352998184,04-06-18,18:55:14,149
1352999330,04-06-18,18:56:18,494
1352999616,04-06-18,18:56:35,148
1353001225,04-06-18,18:58:14,219
1353002366,04-06-18,18:59:20,205
1353002487,04-06-18,18:59:28,143
1353002618,04-06-18,18:59:37,147
1353003966,04-06-18,19:01:02,129
1353005343,04-06-18,19:02:32,212
1353007925,04-06-18,19:05:19,126
1353007968,04-06-18,19:05:22,169
1353009343,04-06-18,19:06:51,197
1353010998,04-06-18,19:08:40,152
1353011878,04-06-18,19:09:35,207
1353012178,04-06-18,19:09:56,201
1353012648,04-06-18,19:10:30,1030
1353013777,04-06-18,19:11:42,233
1353014724,04-06-18,19:12:37,211
1353014951,04-06-18,19:12:51,206
1353016435,04-06-18,19:14:21,219
1353022007,04-06-18,19:20:14,220
1353022323,04-06-18,19:20:37,143
1353024722,04-06-18,19:23:11,137
1353026014,04-06-18,19:24:36,195
1353028431,04-06-18,19:27:16,174
1353029177,04-06-18,19:28:05,231
1353029330,04-06-18,19:28:15,228
1353029385,04-06-18,19:28:20,176
1353030256,04-06-18,19:29:14,243
1353031636,04-06-18,19:30:42,193
1353032061,04-06-18,19:31:11,136
1353032796,04-06-18,19:32:04,666
1353035699,04-06-18,19:35:21,135
1353035918,04-06-18,19:35:36,196
1353038569,04-06-18,19:38:39,70
1353039664,04-06-18,19:39:55,135
1353041007,04-06-18,19:41:22,135
1353042240,04-06-18,19:42:45,203
1353042503,04-06-18,19:43:01,142
1353042580,04-06-18,19:43:06,136
1353043574,04-06-18,19:44:11,976
1353043633,04-06-18,19:44:15,190
1353043737,04-06-18,19:44:22,145
1353044694,04-06-18,19:45:27,193
1353045082,04-06-18,19:45:55,199
1353046115,04-06-18,19:47:03,194
1353046425,04-06-18,19:47:22,207
1353046549,04-06-18,19:47:32,148
1353047476,04-06-18,19:48:37,185
1353047650,04-06-18,19:48:49,201
1353047923,04-06-18,19:49:09,147
1353049001,04-06-18,19:50:21,120
1353049449,04-06-18,19:50:51,163
1353050570,04-06-18,19:52:08,213
1353051734,04-06-18,19:53:23,141
1353052073,04-06-18,19:53:47,151
1353052865,04-06-18,19:54:41,198
1353054076,04-06-18,19:56:03,191
1353054229,04-06-18,19:56:13,195
1353055482,04-06-18,19:57:37,208
1353055530,04-06-18,19:57:42,194
1353055789,04-06-18,19:57:59,220
1353056840,04-06-18,19:59:03,197
1353057267,04-06-18,19:59:36,213
