Timestamp,Bearing,BlockRef,CallDistanceAlongRoute,DataFrameRef,DatedVehicleJourneyRef,DestinationName,DestinationRef,DirectionRef,DistanceFromCall,ExpectedArrivalTime,ExpectedDepartureTime,JourneyPatternRef,Latitude,LineRef,Longitude,Monitored,OperatorRef,OriginAimedDepartureTime,OriginRef,PresentableDistance,ProgressRate,ProgressStatus,PublishedLineName,RecordedAtTime,StopPointName,StopPointRef,StopsFromCall,VehicleRef,VisitNumber,VehicleDistanceAlongRoute
2018-04-08 16:00:17.604000-04:00,233.85141000000002,MTA NYCT_OF_B8-Sunday_D_OF_27000_M1-111,5621.35,2018-04-08,MTA NYCT_OF_B8-Sunday-093100_M1_130,GRAND STREET via 5 AV/BROADWAY,MTA_803192,1,6.09,2018-04-08T16:00:28.201-04:00,2018-04-08T16:00:28.201-04:00,MTA_M010187,40.78045,MTA NYCT_M1,-73.961207,True,MTA NYCT,,MTA_405284,at stop,normalProgress,,M1,2018-04-08T16:00:17.604-04:00,5 AV/EAST 84 ST,MTA_400119,0,MTA NYCT_3829,1,5615.26
2018-04-08 16:00:18-04:00,233.75014,MTA NYCT_OF_B8-Sunday_D_OF_17760_M1-102,7444.01,2018-04-08,MTA NYCT_OF_B8-Sunday-092000_M1_138,GRAND STREET via 5 AV/BROADWAY,MTA_803192,1,17.32,2018-04-08T16:00:28.201-04:00,2018-04-08T16:00:28.201-04:00,MTA_M010187,40.766191,MTA NYCT_M1,-73.971609,True,MTA NYCT,,MTA_405284,at stop,normalProgress,,M1,2018-04-08T16:00:18.000-04:00,5 AV/E 62 ST,MTA_400128,0,MTA NYCT_6749,1,7426.6900000000005
2018-04-08 16:00:28-04:00,233.31763999999998,MTA NYCT_OF_B8-Sunday_D_OF_54420_M1-131,7653.54,2018-04-08,MTA NYCT_OF_B8-Sunday-091000_M1_131,GRAND STREET via 5 AV/BROADWAY,MTA_803192,1,0.0,2018-04-08T16:00:58.561-04:00,2018-04-08T16:00:58.561-04:00,MTA_M010187,40.764408,MTA NYCT_M1,-73.97291700000001,True,MTA NYCT,,MTA_405284,at stop,normalProgress,,M1,2018-04-08T16:00:28.000-04:00,5 AV/W  59 ST,MTA_400512,0,MTA NYCT_3893,1,7653.54
2018-04-08 16:00:48.470000-04:00,233.97781,MTA NYCT_OF_B8-Sunday_D_OF_27000_M1-111,5861.36,2018-04-08,MTA NYCT_OF_B8-Sunday-093100_M1_130,GRAND STREET via 5 AV/BROADWAY,MTA_803192,1,185.32,2018-04-08T16:02:30.978-04:00,2018-04-08T16:02:30.978-04:00,MTA_M010187,40.779971999999994,MTA NYCT_M1,-73.961556,True,MTA NYCT,,MTA_405284,< 1 stop away,normalProgress,,M1,2018-04-08T16:00:48.470-04:00,5 AV/EAST 81 ST,MTA_803162,0,MTA NYCT_3829,1,5676.04
2018-04-08 16:00:50-04:00,234.13126,MTA NYCT_OF_B8-Sunday_D_OF_17760_M1-102,7653.54,2018-04-08,MTA NYCT_OF_B8-Sunday-092000_M1_138,GRAND STREET via 5 AV/BROADWAY,MTA_803192,1,191.82,2018-04-08T16:02:09.464-04:00,2018-04-08T16:02:09.464-04:00,MTA_M010187,40.765915,MTA NYCT_M1,-73.971809,True,MTA NYCT,,MTA_405284,< 1 stop away,normalProgress,,M1,2018-04-08T16:00:50.000-04:00,5 AV/W  59 ST,MTA_400512,0,MTA NYCT_6749,1,7461.72
2018-04-08 16:01:00-04:00,233.31763999999998,MTA NYCT_OF_B8-Sunday_D_OF_54420_M1-131,7653.54,2018-04-08,MTA NYCT_OF_B8-Sunday-091000_M1_131,GRAND STREET via 5 AV/BROADWAY,MTA_803192,1,0.0,2018-04-08T16:01:28.881-04:00,2018-04-08T16:01:28.881-04:00,MTA_M010187,40.764408,MTA NYCT_M1,-73.97291700000001,True,MTA NYCT,,MTA_405284,at stop,normalProgress,,M1,2018-04-08T16:01:00.000-04:00,5 AV/W  59 ST,MTA_400512,0,MTA NYCT_3893,1,7653.54
2018-04-08 16:01:19.619000-04:00,233.83848999999998,MTA NYCT_OF_B8-Sunday_D_OF_27000_M1-111,5861.36,2018-04-08,MTA NYCT_OF_B8-Sunday-093100_M1_130,GRAND STREET via 5 AV/BROADWAY,MTA_803192,1,42.53,2018-04-08T16:01:43.145-04:00,2018-04-08T16:01:43.145-04:00,MTA_M010187,40.778847,MTA NYCT_M1,-73.962375,True,MTA NYCT,,MTA_405284,approaching,normalProgress,,M1,2018-04-08T16:01:19.619-04:00,5 AV/EAST 81 ST,MTA_803162,0,MTA NYCT_3829,1,5818.83
2018-04-08 16:01:23-04:00,232.98933,MTA NYCT_OF_B8-Sunday_D_OF_17760_M1-102,8227.92,2018-04-08,MTA NYCT_OF_B8-Sunday-092000_M1_138,GRAND STREET via 5 AV/BROADWAY,MTA_803192,1,571.45,2018-04-08T16:04:01.497-04:00,2018-04-08T16:04:01.497-04:00,MTA_M010187,40.764385,MTA NYCT_M1,-73.97293499999999,True,MTA NYCT,,MTA_405284,< 1 stop away,normalProgress,,M1,2018-04-08T16:01:23.000-04:00,5 AV/W 53 ST,MTA_400514,0,MTA NYCT_6749,1,7656.47
2018-04-08 16:01:51.480000-04:00,233.83848999999998,MTA NYCT_OF_B8-Sunday_D_OF_27000_M1-111,5861.36,2018-04-08,MTA NYCT_OF_B8-Sunday-093100_M1_130,GRAND STREET via 5 AV/BROADWAY,MTA_803192,1,27.34,2018-04-08T16:02:06.604-04:00,2018-04-08T16:02:06.604-04:00,MTA_M010187,40.778728,MTA NYCT_M1,-73.962462,True,MTA NYCT,,MTA_405284,at stop,normalProgress,,M1,2018-04-08T16:01:51.480-04:00,5 AV/EAST 81 ST,MTA_803162,0,MTA NYCT_3829,1,5834.0199999999995
2018-04-08 16:01:31-04:00,234.0132,MTA NYCT_OF_B8-Sunday_D_OF_54420_M1-131,8227.92,2018-04-08,MTA NYCT_OF_B8-Sunday-091000_M1_131,GRAND STREET via 5 AV/BROADWAY,MTA_803192,1,386.83,2018-04-08T16:03:18.290-04:00,2018-04-08T16:03:18.290-04:00,MTA_M010187,40.762931,MTA NYCT_M1,-73.97399300000001,True,MTA NYCT,,MTA_405284,< 1 stop away,normalProgress,,M1,2018-04-08T16:01:31.000-04:00,5 AV/W 53 ST,MTA_400514,0,MTA NYCT_3893,1,7841.09
