Timestamp,Bearing,BlockRef,CallDistanceAlongRoute,DataFrameRef,DatedVehicleJourneyRef,DestinationName,DestinationRef,DirectionRef,DistanceFromCall,ExpectedArrivalTime,ExpectedDepartureTime,JourneyPatternRef,Latitude,LineRef,Longitude,Monitored,OperatorRef,OriginAimedDepartureTime,OriginRef,PresentableDistance,ProgressRate,ProgressStatus,PublishedLineName,RecordedAtTime,StopPointName,StopPointRef,StopsFromCall,VehicleRef,VisitNumber,VehicleDistanceAlongRoute
2018-04-06 16:00:01-04:00,233.35362,MTA NYCT_OF_B8-Weekday_C_OF_29220_M1-122,5169.49,2018-04-06,MTA NYCT_OF_B8-Weekday-092900_M1_145,GRAND STREET via 5 AV/BROADWAY,MTA_803192,1,23.58,2018-04-06T16:00:18.763-04:00,2018-04-06T16:00:18.763-04:00,MTA_M010187,40.784147999999995,MTA NYCT_M1,-73.95852,True,MTA NYCT,,MTA_405284,at stop,normalProgress,,M1,2018-04-06T16:00:01.000-04:00,5 AV/EAST 90 ST,MTA_400117,0,MTA NYCT_3891,1,5145.91
2018-04-06 16:00:04-04:00,233.75014,MTA NYCT_OF_B8-Weekday_C_OF_20820_M1-105,8868.91,2018-04-06,MTA NYCT_OF_B8-Weekday-089200_M1_140,GRAND STREET via 5 AV/BROADWAY,MTA_803192,1,77.74,2018-04-06T16:00:53.260-04:00,2018-04-06T16:00:53.260-04:00,MTA_M010187,40.755453,MTA NYCT_M1,-73.979448,True,MTA NYCT,,MTA_405284,approaching,normalProgress,,M1,2018-04-06T16:00:04.000-04:00,5 AV/W 45 ST,MTA_405179,0,MTA NYCT_3901,1,8791.17
2018-04-06 16:00:07-04:00,234.19359,MTA NYCT_OF_B8-Weekday_C_OF_54660_M1-146,6718.93,2018-04-06,MTA NYCT_OF_B8-Weekday-091400_M1_146,E VILLAGE 8 ST via 5 AV,MTA_403793,1,48.54,2018-04-06T16:00:22.288-04:00,2018-04-06T16:00:22.288-04:00,MTA_M010186,40.772144,MTA NYCT_M1,-73.967265,True,MTA NYCT,,MTA_405284,approaching,normalProgress,,M1,2018-04-06T16:00:07.000-04:00,5 AV/E 72 ST,MTA_400124,0,MTA NYCT_3898,1,6670.39
2018-04-06 16:00:08-04:00,234.03671,MTA NYCT_OF_B8-Weekday_C_OF_28980_M7-204,8227.92,2018-04-06,MTA NYCT_OF_B8-Weekday-089800_M7_207,E VILLAGE 8 ST via 5 AV,MTA_403793,1,30.32,2018-04-06T16:00:20.005-04:00,2018-04-06T16:00:20.005-04:00,MTA_M010186,40.760125,MTA NYCT_M1,-73.97604100000001,True,MTA NYCT,,MTA_405284,at stop,normalProgress,,M1,2018-04-06T16:00:08.000-04:00,5 AV/W 53 ST,MTA_400514,0,MTA NYCT_3889,1,8197.6
2018-04-06 16:00:11-04:00,233.93703,MTA NYCT_OF_B8-Weekday_C_OF_18120_M1-102,9554.96,2018-04-06,MTA NYCT_OF_B8-Weekday-088600_M7_225,GRAND STREET via 5 AV/BROADWAY,MTA_803192,1,2.96,2018-04-06T16:00:18.763-04:00,2018-04-06T16:00:18.763-04:00,MTA_M010187,40.749462,MTA NYCT_M1,-73.983813,True,MTA NYCT,,MTA_405284,at stop,normalProgress,,M1,2018-04-06T16:00:11.000-04:00,5 AV/W 36 ST,MTA_400323,0,MTA NYCT_3903,1,9552.0
2018-04-06 16:00:14-04:00,233.8172,MTA NYCT_OF_B8-Weekday_C_OF_54060_M1-105,7282.37,2018-04-06,MTA NYCT_OF_B8-Weekday-090400_M1_105,GRAND STREET via 5 AV/BROADWAY,MTA_803192,1,99.67,2018-04-06T16:01:11.689-04:00,2018-04-06T16:01:11.689-04:00,MTA_M010187,40.768114000000004,MTA NYCT_M1,-73.970214,True,MTA NYCT,,MTA_405284,approaching,normalProgress,,M1,2018-04-06T16:00:14.000-04:00,5 AV/E 63 ST,MTA_400127,0,MTA NYCT_3900,1,7182.7
2018-04-06 16:00:25-04:00,234.14885,MTA NYCT_OF_B8-Weekday_C_OF_54360_M7-208,8227.92,2018-04-06,MTA NYCT_OF_B8-Weekday-090900_M7_208,E VILLAGE 8 ST via 5 AV,MTA_403793,1,522.65,2018-04-06T16:03:51.919-04:00,2018-04-06T16:03:51.919-04:00,MTA_M010186,40.764001,MTA NYCT_M1,-73.973215,True,MTA NYCT,,MTA_405284,< 1 stop away,normalProgress,,M1,2018-04-06T16:00:25.000-04:00,5 AV/W 53 ST,MTA_400514,0,MTA NYCT_6774,1,7705.27
2018-04-06 16:00:26-04:00,233.85141000000002,MTA NYCT_OF_B8-Weekday_C_OF_55260_M1-113,5621.35,2018-04-06,MTA NYCT_OF_B8-Weekday-092400_M1_113,E VILLAGE 8 ST via 5 AV,MTA_403793,1,4.32,2018-04-06T16:00:49.385-04:00,2018-04-06T16:00:49.385-04:00,MTA_M010186,40.780436,MTA NYCT_M1,-73.961218,True,MTA NYCT,,MTA_405284,at stop,normalProgress,,M1,2018-04-06T16:00:26.000-04:00,5 AV/EAST 84 ST,MTA_400119,0,MTA NYCT_6773,1,5617.030000000001
2018-04-06 16:00:29-04:00,233.90900000000002,MTA NYCT_OF_B8-Weekday_C_OF_29580_M1-123,6394.46,2018-04-06,MTA NYCT_OF_B8-Weekday-091900_M1_147,GRAND STREET via 5 AV/BROADWAY,MTA_803192,1,153.8,2018-04-06T16:01:25.800-04:00,2018-04-06T16:01:25.800-04:00,MTA_M010187,40.775526,MTA NYCT_M1,-73.964795,True,MTA NYCT,,MTA_405284,< 1 stop away,normalProgress,,M1,2018-04-06T16:00:29.000-04:00,5 AV/EAST 75 ST,MTA_400123,0,MTA NYCT_6759,1,6240.66
2018-04-06 16:00:32-04:00,233.91893,MTA NYCT_OF_B8-Weekday_C_OF_29220_M1-122,5398.92,2018-04-06,MTA NYCT_OF_B8-Weekday-092900_M1_145,GRAND STREET via 5 AV/BROADWAY,MTA_803192,1,107.21,2018-04-06T16:01:04.174-04:00,2018-04-06T16:01:04.174-04:00,MTA_M010187,40.782996999999995,MTA NYCT_M1,-73.95934799999999,True,MTA NYCT,,MTA_405284,approaching,normalProgress,,M1,2018-04-06T16:00:32.000-04:00,5 AV/EAST 87 ST,MTA_400118,0,MTA NYCT_3891,1,5291.71
