Timestamp,Bearing,BlockRef,CallDistanceAlongRoute,DataFrameRef,DatedVehicleJourneyRef,DestinationName,DestinationRef,DirectionRef,DistanceFromCall,ExpectedArrivalTime,ExpectedDepartureTime,JourneyPatternRef,Latitude,LineRef,Longitude,Monitored,OperatorRef,OriginAimedDepartureTime,OriginRef,PresentableDistance,ProgressRate,ProgressStatus,PublishedLineName,RecordedAtTime,StopPointName,StopPointRef,StopsFromCall,VehicleRef,VisitNumber,VehicleDistanceAlongRoute
2018-04-07 16:00:00-04:00,234.09027000000003,MTA NYCT_OF_B8-Saturday_A_OF_24600_M1-111,9128.65,2018-04-07,MTA NYCT_OF_B8-Saturday-090300_M1_119,GRAND STREET via 5 AV/BROADWAY,MTA_803192,1,41.56,2018-04-07T16:00:32.981-04:00,2018-04-07T16:00:32.981-04:00,MTA_M010187,40.753122999999995,MTA NYCT_M1,-73.981148,True,MTA NYCT,,MTA_405284,approaching,normalProgress,,M1,2018-04-07T16:00:00.000-04:00,5 AV/W 42 ST,MTA_400518,0,MTA NYCT_6778,1,9087.09
2018-04-07 16:00:12-04:00,233.97781,MTA NYCT_OF_B8-Saturday_A_OF_26520_M1-104,5861.36,2018-04-07,MTA NYCT_OF_B8-Saturday-092300_M1_138,GRAND STREET via 5 AV/BROADWAY,MTA_803192,1,144.55,2018-04-07T16:01:19.540-04:00,2018-04-07T16:01:19.540-04:00,MTA_M010187,40.77965,MTA NYCT_M1,-73.96179000000001,True,MTA NYCT,,MTA_405284,approaching,normalProgress,,M1,2018-04-07T16:00:12.000-04:00,5 AV/EAST 81 ST,MTA_803162,0,MTA NYCT_6751,1,5716.8099999999995
2018-04-07 16:00:16-04:00,233.89676,MTA NYCT_OF_B8-Saturday_A_OF_42480_M1-128,8706.37,2018-04-07,MTA NYCT_OF_B8-Saturday-089300_M1_139,GRAND STREET via 5 AV/BROADWAY,MTA_803192,1,194.68,2018-04-07T16:01:23.664-04:00,2018-04-07T16:01:23.664-04:00,MTA_M010187,40.757653000000005,MTA NYCT_M1,-73.977845,True,MTA NYCT,,MTA_405284,< 1 stop away,normalProgress,,M1,2018-04-07T16:00:16.000-04:00,5 AV/W 47 ST,MTA_400516,0,MTA NYCT_6764,1,8511.69
2018-04-07 16:00:21-04:00,234.40922999999998,MTA NYCT_OF_B8-Saturday_A_OF_17820_M1-106,8468.14,2018-04-07,MTA NYCT_OF_B8-Saturday-091300_M1_126,GRAND STREET via 5 AV/BROADWAY,MTA_803192,1,237.67,2018-04-07T16:02:26.620-04:00,2018-04-07T16:02:26.620-04:00,MTA_M010187,40.759865999999995,MTA NYCT_M1,-73.976229,True,MTA NYCT,,MTA_405284,< 1 stop away,normalProgress,,M1,2018-04-07T16:00:21.000-04:00,5 AV/W 49 ST,MTA_400515,0,MTA NYCT_3900,1,8230.47
2018-04-07 16:00:32-04:00,234.09027000000003,MTA NYCT_OF_B8-Saturday_A_OF_24600_M1-111,9128.65,2018-04-07,MTA NYCT_OF_B8-Saturday-090300_M1_119,GRAND STREET via 5 AV/BROADWAY,MTA_803192,1,33.77,2018-04-07T16:01:03.737-04:00,2018-04-07T16:01:03.737-04:00,MTA_M010187,40.753062,MTA NYCT_M1,-73.98119200000001,True,MTA NYCT,,MTA_405284,approaching,normalProgress,,M1,2018-04-07T16:00:32.000-04:00,5 AV/W 42 ST,MTA_400518,0,MTA NYCT_6778,1,9094.88
2018-04-07 16:00:43-04:00,233.83848999999998,MTA NYCT_OF_B8-Saturday_A_OF_26520_M1-104,5861.36,2018-04-07,MTA NYCT_OF_B8-Saturday-092300_M1_138,GRAND STREET via 5 AV/BROADWAY,MTA_803192,1,43.64,2018-04-07T16:01:03.389-04:00,2018-04-07T16:01:03.389-04:00,MTA_M010187,40.778856,MTA NYCT_M1,-73.962369,True,MTA NYCT,,MTA_405284,approaching,normalProgress,,M1,2018-04-07T16:00:43.000-04:00,5 AV/EAST 81 ST,MTA_803162,0,MTA NYCT_6751,1,5817.719999999999
2018-04-07 16:00:49-04:00,233.6486,MTA NYCT_OF_B8-Saturday_A_OF_42480_M1-128,8706.37,2018-04-07,MTA NYCT_OF_B8-Saturday-089300_M1_139,GRAND STREET via 5 AV/BROADWAY,MTA_803192,1,7.68,2018-04-07T16:01:03.737-04:00,2018-04-07T16:01:03.737-04:00,MTA_M010187,40.75618,MTA NYCT_M1,-73.978915,True,MTA NYCT,,MTA_405284,at stop,normalProgress,,M1,2018-04-07T16:00:49.000-04:00,5 AV/W 47 ST,MTA_400516,0,MTA NYCT_6764,1,8698.69
2018-04-07 16:00:53-04:00,234.40922999999998,MTA NYCT_OF_B8-Saturday_A_OF_17820_M1-106,8468.14,2018-04-07,MTA NYCT_OF_B8-Saturday-091300_M1_126,GRAND STREET via 5 AV/BROADWAY,MTA_803192,1,235.12,2018-04-07T16:02:57.269-04:00,2018-04-07T16:02:57.269-04:00,MTA_M010187,40.759846,MTA NYCT_M1,-73.976244,True,MTA NYCT,,MTA_405284,< 1 stop away,normalProgress,,M1,2018-04-07T16:00:53.000-04:00,5 AV/W 49 ST,MTA_400515,0,MTA NYCT_3900,1,8233.019999999999
2018-04-07 16:01:04-04:00,233.96712999999997,MTA NYCT_OF_B8-Saturday_A_OF_24600_M1-111,9368.51,2018-04-07,MTA NYCT_OF_B8-Saturday-090300_M1_119,GRAND STREET via 5 AV/BROADWAY,MTA_803192,1,147.34,2018-04-07T16:02:04.691-04:00,2018-04-07T16:02:04.691-04:00,MTA_M010187,40.752068,MTA NYCT_M1,-73.98191700000001,True,MTA NYCT,,MTA_405284,approaching,normalProgress,,M1,2018-04-07T16:01:04.000-04:00,5 AV/W 38 ST,MTA_400519,0,MTA NYCT_6778,1,9221.17
2018-04-07 16:01:16-04:00,233.91893,MTA NYCT_OF_B8-Saturday_A_OF_26520_M1-104,6153.18,2018-04-07,MTA NYCT_OF_B8-Saturday-092300_M1_138,GRAND STREET via 5 AV/BROADWAY,MTA_803192,1,191.84,2018-04-07T16:02:39.025-04:00,2018-04-07T16:02:39.025-04:00,MTA_M010187,40.777725,MTA NYCT_M1,-73.963194,True,MTA NYCT,,MTA_405284,< 1 stop away,normalProgress,,M1,2018-04-07T16:01:16.000-04:00,5 AV/EAST 78 ST,MTA_404303,0,MTA NYCT_6751,1,5961.34
