uid,Date,time,travelTime
1355741888,04-09-18,16:00:00,196
1355743217,04-09-18,16:01:19,138
1355743282,04-09-18,16:01:24,131
1355743325,04-09-18,16:01:26,128
1355743431,04-09-18,16:01:33,127
1355743631,04-09-18,16:01:43,133
1355744536,04-09-18,16:02:36,178
1355744745,04-09-18,16:02:48,137
1355744843,04-09-18,16:02:54,127
1355745201,04-09-18,16:03:16,128
1355745290,04-09-18,16:03:22,138
1355746057,04-09-18,16:04:10,119
1355746139,04-09-18,16:04:15,133
1355746469,04-09-18,16:04:34,125
1355747427,04-09-18,16:05:36,120
1355747784,04-09-18,16:05:57,225
1355748059,04-09-18,16:06:15,146
1355749035,04-09-18,16:07:13,118
1355751819,04-09-18,16:10:09,136
1355753092,04-09-18,16:11:34,183
1355753615,04-09-18,16:12:08,141
1355753675,04-09-18,16:12:11,155
1355753725,04-09-18,16:12:13,142
1355753745,04-09-18,16:12:14,150
1355754566,04-09-18,16:13:09,186
1355754610,04-09-18,16:13:12,186
1355754645,04-09-18,16:13:14,132
1355754637,04-09-18,16:13:14,130
1355754904,04-09-18,16:13:33,145
1355757406,04-09-18,16:16:06,182
1355757452,04-09-18,16:16:08,200
1355757609,04-09-18,16:16:16,196
1355757714,04-09-18,16:16:22,192
1355759004,04-09-18,16:17:41,192
1355759167,04-09-18,16:17:51,189
1355759574,04-09-18,16:18:14,133
1355760572,04-09-18,16:19:15,201
1355760593,04-09-18,16:19:16,125
1355760753,04-09-18,16:19:27,194
1355761897,04-09-18,16:20:36,204
1355762096,04-09-18,16:20:46,192
1355762078,04-09-18,16:20:46,130
1355762154,04-09-18,16:20:50,192
1355762306,04-09-18,16:21:00,143
1355763624,04-09-18,16:22:23,136
1355763656,04-09-18,16:22:24,141
1355763787,04-09-18,16:22:31,128
1355763786,04-09-18,16:22:31,119
1355763829,04-09-18,16:22:33,120
1355764799,04-09-18,16:23:36,192
1355764843,04-09-18,16:23:40,193
1355765247,04-09-18,16:24:02,123
1355766385,04-09-18,16:25:13,305
1355766679,04-09-18,16:25:30,134
1355766860,04-09-18,16:25:41,128
1355767184,04-09-18,16:26:01,144
1355767820,04-09-18,16:26:41,222
1355768110,04-09-18,16:26:56,147
1355768279,04-09-18,16:27:05,149
1355769664,04-09-18,16:28:29,133
1355769829,04-09-18,16:28:38,143
1355770915,04-09-18,16:29:50,115
1355771216,04-09-18,16:30:08,141
1355771358,04-09-18,16:30:15,144
1355771501,04-09-18,16:30:24,133
1355772175,04-09-18,16:31:06,126
1355772216,04-09-18,16:31:09,182
1355772320,04-09-18,16:31:16,197
1355772645,04-09-18,16:31:36,135
1355772718,04-09-18,16:31:40,133
1355772803,04-09-18,16:31:46,134
1355774096,04-09-18,16:33:03,207
1355775057,04-09-18,16:34:06,923
1355775171,04-09-18,16:34:12,198
1355776611,04-09-18,16:35:42,187
1355776934,04-09-18,16:35:59,120
1355777077,04-09-18,16:36:06,128
1355777123,04-09-18,16:36:09,135
1355778134,04-09-18,16:37:09,120
1355778492,04-09-18,16:37:32,129
1355778618,04-09-18,16:37:39,122
1355779623,04-09-18,16:38:42,128
1355779987,04-09-18,16:39:05,129
1355781618,04-09-18,16:40:42,75
1355782458,04-09-18,16:41:38,176
1355782719,04-09-18,16:41:53,120
1355784464,04-09-18,16:43:36,138
1355785947,04-09-18,16:45:04,211
1355785937,04-09-18,16:45:04,146
1355785935,04-09-18,16:45:04,218
1355787155,04-09-18,16:46:17,201
1355787184,04-09-18,16:46:19,200
1355787663,04-09-18,16:46:45,149
1355788507,04-09-18,16:47:39,386
1355788996,04-09-18,16:48:07,154
1355789045,04-09-18,16:48:10,160
1355790246,04-09-18,16:49:22,200
1355790442,04-09-18,16:49:33,145
1355790649,04-09-18,16:49:45,160
1355791823,04-09-18,16:50:53,144
1355791953,04-09-18,16:51:00,138
1355792009,04-09-18,16:51:03,201
1355793121,04-09-18,16:52:13,196
1355793280,04-09-18,16:52:21,135
1355793572,04-09-18,16:52:35,145
1355795045,04-09-18,16:54:04,240
1355795460,04-09-18,16:54:29,159
1355796263,04-09-18,16:55:19,131
1355796548,04-09-18,16:55:36,134
1355797893,04-09-18,16:56:57,220
1355798032,04-09-18,16:57:01,230
1355797973,04-09-18,16:57:01,209
1355798036,04-09-18,16:57:32,168
1355798034,04-09-18,16:57:32,142
1355798033,04-09-18,16:57:32,149
1355799194,04-09-18,16:58:18,136
1355799208,04-09-18,16:58:19,210
1355799602,04-09-18,16:58:41,143
1355803486,04-09-18,17:02:42,133
1355803713,04-09-18,17:02:56,196
1355803985,04-09-18,17:03:13,135
1355806436,04-09-18,17:05:47,184
1355806640,04-09-18,17:05:59,158
1355809461,04-09-18,17:08:50,218
1355809557,04-09-18,17:08:55,191
1355809826,04-09-18,17:09:10,159
1355812209,04-09-18,17:11:38,216
1355813973,04-09-18,17:13:22,201
1355815484,04-09-18,17:14:54,200
1355817181,04-09-18,17:16:45,213
1355818045,04-09-18,17:17:42,219
1355818044,04-09-18,17:17:42,307
