Timestamp,Bearing,BlockRef,CallDistanceAlongRoute,DataFrameRef,DatedVehicleJourneyRef,DestinationName,DestinationRef,DirectionRef,DistanceFromCall,ExpectedArrivalTime,ExpectedDepartureTime,JourneyPatternRef,Latitude,LineRef,Longitude,Monitored,OperatorRef,OriginAimedDepartureTime,OriginRef,PresentableDistance,ProgressRate,ProgressStatus,PublishedLineName,RecordedAtTime,StopPointName,StopPointRef,StopsFromCall,VehicleRef,VisitNumber,DayOfWeek,VehicleDistanceAlongRoute
2018-04-10 16:00:50-04:00,234.13126,MTA NYCT_OF_B8-Weekday-SDon_E_OF_54660_M1-146,7653.54,2018-04-10,MTA NYCT_OF_B8-Weekday-SDon-091400_M1_146,E VILLAGE 8 ST via 5 AV,MTA_403793,1,157.59,2018-04-10T16:02:25.799-04:00,2018-04-10T16:02:25.799-04:00,MTA_M010186,40.765645,MTA NYCT_M1,-73.972004,True,MTA NYCT,,MTA_405284,< 1 stop away,normalProgress,,M1,2018-04-10T16:00:50.000-04:00,5 AV/W  59 ST,MTA_400512,0,MTA NYCT_3883,1,2,7495.95
2018-04-10 16:00:55-04:00,234.02312999999998,MTA NYCT_OF_B8-Weekday-SDon_E_OF_28980_M7-204,8468.14,2018-04-10,MTA NYCT_OF_B8-Weekday-SDon-089800_M7_207,E VILLAGE 8 ST via 5 AV,MTA_403793,1,35.59,2018-04-10T16:01:17.756-04:00,2018-04-10T16:01:17.756-04:00,MTA_M010186,40.758276,MTA NYCT_M1,-73.977391,True,MTA NYCT,,MTA_405284,approaching,normalProgress,,M1,2018-04-10T16:00:55.000-04:00,5 AV/W 49 ST,MTA_400515,0,MTA NYCT_3893,1,2,8432.55
2018-04-10 16:01:03-04:00,233.44037000000003,MTA NYCT_OF_B8-Weekday-SDon_E_OF_29580_M1-123,7172.01,2018-04-10,MTA NYCT_OF_B8-Weekday-SDon-091900_M1_147,GRAND STREET via 5 AV/BROADWAY,MTA_803192,1,129.89,2018-04-10T16:01:55.660-04:00,2018-04-10T16:01:55.660-04:00,MTA_M010187,40.769219,MTA NYCT_M1,-73.969401,True,MTA NYCT,,MTA_405284,approaching,normalProgress,,M1,2018-04-10T16:01:03.000-04:00,5 AV/E 65 ST,MTA_400126,0,MTA NYCT_6778,1,2,7042.12
2018-04-10 16:01:12-04:00,233.75014,MTA NYCT_OF_B8-Weekday-SDon_E_OF_54060_M1-105,7444.01,2018-04-10,MTA NYCT_OF_B8-Weekday-SDon-090400_M1_105,GRAND STREET via 5 AV/BROADWAY,MTA_803192,1,87.04,2018-04-10T16:01:40.314-04:00,2018-04-10T16:01:40.314-04:00,MTA_M010187,40.766739,MTA NYCT_M1,-73.97120699999999,True,MTA NYCT,,MTA_405284,approaching,normalProgress,,M1,2018-04-10T16:01:12.000-04:00,5 AV/E 62 ST,MTA_400128,0,MTA NYCT_6758,1,2,7356.97
2018-04-10 16:01:12-04:00,233.9537,MTA NYCT_OF_B8-Weekday-SDon_E_OF_29220_M1-122,4982.98,2018-04-10,MTA NYCT_OF_B8-Weekday-SDon-092900_M1_145,GRAND STREET via 5 AV/BROADWAY,MTA_803192,1,115.54,2018-04-10T16:01:45.144-04:00,2018-04-10T16:01:45.144-04:00,MTA_M010187,40.786336999999996,MTA NYCT_M1,-73.956912,True,MTA NYCT,,MTA_405284,approaching,normalProgress,,M1,2018-04-10T16:01:12.000-04:00,5 AV/EAST 92 ST,MTA_400116,0,MTA NYCT_6783,1,2,4867.44
2018-04-10 16:01:18-04:00,233.95067999999998,MTA NYCT_OF_B8-Weekday-SDon_E_OF_55260_M1-113,5621.35,2018-04-10,MTA NYCT_OF_B8-Weekday-SDon-092400_M1_113,E VILLAGE 8 ST via 5 AV,MTA_403793,1,166.29,2018-04-10T16:02:31.112-04:00,2018-04-10T16:02:31.112-04:00,MTA_M010186,40.781711,MTA NYCT_M1,-73.960288,True,MTA NYCT,,MTA_405284,< 1 stop away,normalProgress,,M1,2018-04-10T16:01:18.000-04:00,5 AV/EAST 84 ST,MTA_400119,0,MTA NYCT_6776,1,2,5455.06
2018-04-10 16:01:19-04:00,233.8172,MTA NYCT_OF_B8-Weekday-SDon_E_OF_54360_M7-208,7282.37,2018-04-10,MTA NYCT_OF_B8-Weekday-SDon-090900_M7_208,E VILLAGE 8 ST via 5 AV,MTA_403793,1,97.89,2018-04-10T16:02:14.689-04:00,2018-04-10T16:02:14.689-04:00,MTA_M010186,40.7681,MTA NYCT_M1,-73.970224,True,MTA NYCT,,MTA_405284,approaching,normalProgress,,M1,2018-04-10T16:01:19.000-04:00,5 AV/E 63 ST,MTA_400127,0,MTA NYCT_3888,1,2,7184.48
2018-04-10 16:01:20-04:00,233.65923999999998,MTA NYCT_OF_B8-Weekday-SDon_E_OF_20820_M1-105,9128.65,2018-04-10,MTA NYCT_OF_B8-Weekday-SDon-089200_M1_140,GRAND STREET via 5 AV/BROADWAY,MTA_803192,1,196.61,2018-04-10T16:02:24.470-04:00,2018-04-10T16:02:24.470-04:00,MTA_M010187,40.754344,MTA NYCT_M1,-73.980257,True,MTA NYCT,,MTA_405284,< 1 stop away,normalProgress,,M1,2018-04-10T16:01:20.000-04:00,5 AV/W 42 ST,MTA_400518,0,MTA NYCT_3832,1,2,8932.039999999999
2018-04-10 16:01:21-04:00,233.31763999999998,MTA NYCT_OF_B8-Weekday-SDon_E_OF_54660_M1-146,7653.54,2018-04-10,MTA NYCT_OF_B8-Weekday-SDon-091400_M1_146,E VILLAGE 8 ST via 5 AV,MTA_403793,1,23.28,2018-04-10T16:01:38.968-04:00,2018-04-10T16:01:38.968-04:00,MTA_M010186,40.764590000000005,MTA NYCT_M1,-73.97278100000001,True,MTA NYCT,,MTA_405284,at stop,normalProgress,,M1,2018-04-10T16:01:21.000-04:00,5 AV/W  59 ST,MTA_400512,0,MTA NYCT_3883,1,2,7630.26
2018-04-10 16:01:27-04:00,234.02312999999998,MTA NYCT_OF_B8-Weekday-SDon_E_OF_28980_M7-204,8468.14,2018-04-10,MTA NYCT_OF_B8-Weekday-SDon-089800_M7_207,E VILLAGE 8 ST via 5 AV,MTA_403793,1,33.81,2018-04-10T16:01:48.618-04:00,2018-04-10T16:01:48.618-04:00,MTA_M010186,40.758262,MTA NYCT_M1,-73.977401,True,MTA NYCT,,MTA_405284,approaching,normalProgress,,M1,2018-04-10T16:01:27.000-04:00,5 AV/W 49 ST,MTA_400515,0,MTA NYCT_3893,1,2,8434.33
