Timestamp,Bearing,BlockRef,CallDistanceAlongRoute,DataFrameRef,DatedVehicleJourneyRef,DestinationName,DestinationRef,DirectionRef,DistanceFromCall,ExpectedArrivalTime,ExpectedDepartureTime,JourneyPatternRef,Latitude,LineRef,Longitude,Monitored,OperatorRef,OriginAimedDepartureTime,OriginRef,PresentableDistance,ProgressRate,ProgressStatus,PublishedLineName,RecordedAtTime,StopPointName,StopPointRef,StopsFromCall,VehicleRef,VisitNumber,VehicleDistanceAlongRoute
2018-04-09 16:00:10-04:00,233.90900000000002,MTA NYCT_OF_B8-Weekday-SDon_E_OF_29580_M1-123,6394.46,2018-04-09,MTA NYCT_OF_B8-Weekday-SDon-091900_M1_147,GRAND STREET via 5 AV/BROADWAY,MTA_803192,1,99.64,2018-04-09T16:00:53.128-04:00,2018-04-09T16:00:53.128-04:00,MTA_M010187,40.775099,MTA NYCT_M1,-73.965106,True,MTA NYCT,,MTA_405284,approaching,normalProgress,,M1,2018-04-09T16:00:10.000-04:00,5 AV/EAST 75 ST,MTA_400123,0,MTA NYCT_3837,1,6294.82
2018-04-09 16:00:13-04:00,234.02312999999998,MTA NYCT_OF_B8-Weekday-SDon_E_OF_54360_M7-208,8468.14,2018-04-09,MTA NYCT_OF_B8-Weekday-SDon-090900_M7_208,E VILLAGE 8 ST via 5 AV,MTA_403793,1,24.91,2018-04-09T16:00:40.995-04:00,2018-04-09T16:00:40.995-04:00,MTA_M010186,40.758192,MTA NYCT_M1,-73.977452,True,MTA NYCT,,MTA_405284,at stop,normalProgress,,M1,2018-04-09T16:00:13.000-04:00,5 AV/W 49 ST,MTA_400515,0,MTA NYCT_6760,1,8443.23
2018-04-09 16:00:13-04:00,233.75014,MTA NYCT_OF_B8-Weekday-SDon_E_OF_52620_M7-205,8868.91,2018-04-09,MTA NYCT_OF_B8-Weekday-SDon-088000_M7_205,E VILLAGE 8 ST via 5 AV,MTA_403793,1,102.47,2018-04-09T16:01:25.500-04:00,2018-04-09T16:01:25.500-04:00,MTA_M010186,40.755646999999996,MTA NYCT_M1,-73.97930600000001,True,MTA NYCT,,MTA_405284,approaching,normalProgress,,M1,2018-04-09T16:00:13.000-04:00,5 AV/W 45 ST,MTA_405179,0,MTA NYCT_6784,1,8766.44
2018-04-09 16:00:14-04:00,234.07584,MTA NYCT_OF_B8-Weekday-SDon_E_OF_28980_M7-204,8468.14,2018-04-09,MTA NYCT_OF_B8-Weekday-SDon-089800_M7_207,E VILLAGE 8 ST via 5 AV,MTA_403793,1,104.99,2018-04-09T16:01:26.548-04:00,2018-04-09T16:01:26.548-04:00,MTA_M010186,40.758823,MTA NYCT_M1,-73.97699399999999,True,MTA NYCT,,MTA_405284,approaching,normalProgress,,M1,2018-04-09T16:00:14.000-04:00,5 AV/W 49 ST,MTA_400515,0,MTA NYCT_3896,1,8363.15
2018-04-09 16:00:16-04:00,233.90900000000002,MTA NYCT_OF_B8-Weekday-SDon_E_OF_54660_M1-146,6394.46,2018-04-09,MTA NYCT_OF_B8-Weekday-SDon-091400_M1_146,E VILLAGE 8 ST via 5 AV,MTA_403793,1,123.47,2018-04-09T16:01:09.442-04:00,2018-04-09T16:01:09.442-04:00,MTA_M010186,40.775287,MTA NYCT_M1,-73.96497,True,MTA NYCT,,MTA_405284,approaching,normalProgress,,M1,2018-04-09T16:00:16.000-04:00,5 AV/EAST 75 ST,MTA_400123,0,MTA NYCT_3883,1,6270.99
2018-04-09 16:00:21-04:00,233.6486,MTA NYCT_OF_B8-Weekday-SDon_E_OF_20820_M1-105,8706.37,2018-04-09,MTA NYCT_OF_B8-Weekday-SDon-089200_M1_140,GRAND STREET via 5 AV/BROADWAY,MTA_803192,1,12.54,2018-04-09T16:00:40.995-04:00,2018-04-09T16:00:40.995-04:00,MTA_M010187,40.756218,MTA NYCT_M1,-73.978887,True,MTA NYCT,,MTA_405284,at stop,normalProgress,,M1,2018-04-09T16:00:21.000-04:00,5 AV/W 47 ST,MTA_400516,0,MTA NYCT_6776,1,8693.83
2018-04-09 16:00:21-04:00,233.9537,MTA NYCT_OF_B8-Weekday-SDon_E_OF_29220_M1-122,4982.98,2018-04-09,MTA NYCT_OF_B8-Weekday-SDon-092900_M1_145,GRAND STREET via 5 AV/BROADWAY,MTA_803192,1,85.59,2018-04-09T16:00:44.379-04:00,2018-04-09T16:00:44.379-04:00,MTA_M010187,40.786101,MTA NYCT_M1,-73.957083,True,MTA NYCT,,MTA_405284,approaching,normalProgress,,M1,2018-04-09T16:00:21.000-04:00,5 AV/EAST 92 ST,MTA_400116,0,MTA NYCT_6789,1,4897.389999999999
2018-04-09 16:00:29-04:00,233.44037000000003,MTA NYCT_OF_B8-Weekday-SDon_E_OF_54060_M1-105,7172.01,2018-04-09,MTA NYCT_OF_B8-Weekday-SDon-090400_M1_105,GRAND STREET via 5 AV/BROADWAY,MTA_803192,1,60.5,2018-04-09T16:00:50.619-04:00,2018-04-09T16:00:50.619-04:00,MTA_M010187,40.768674,MTA NYCT_M1,-73.96980500000001,True,MTA NYCT,,MTA_405284,approaching,normalProgress,,M1,2018-04-09T16:00:29.000-04:00,5 AV/E 65 ST,MTA_400126,0,MTA NYCT_3838,1,7111.51
2018-04-09 16:00:30-04:00,233.75014,MTA NYCT_OF_B8-Weekday-SDon_E_OF_18120_M1-102,8868.91,2018-04-09,MTA NYCT_OF_B8-Weekday-SDon-088600_M7_225,GRAND STREET via 5 AV/BROADWAY,MTA_803192,1,106.0,2018-04-09T16:01:44.999-04:00,2018-04-09T16:01:44.999-04:00,MTA_M010187,40.755675,MTA NYCT_M1,-73.979285,True,MTA NYCT,,MTA_405284,approaching,normalProgress,,M1,2018-04-09T16:00:30.000-04:00,5 AV/W 45 ST,MTA_405179,0,MTA NYCT_6775,1,8762.91
2018-04-09 16:00:32-04:00,233.66612,MTA NYCT_OF_B8-Weekday-SDon_E_OF_55260_M1-113,5398.92,2018-04-09,MTA NYCT_OF_B8-Weekday-SDon-092400_M1_113,E VILLAGE 8 ST via 5 AV,MTA_403793,1,68.61,2018-04-09T16:00:50.702-04:00,2018-04-09T16:00:50.702-04:00,MTA_M010186,40.782693,MTA NYCT_M1,-73.95957,True,MTA NYCT,,MTA_405284,approaching,normalProgress,,M1,2018-04-09T16:00:32.000-04:00,5 AV/EAST 87 ST,MTA_400118,0,MTA NYCT_6763,1,5330.31
