uid,Date,time,travelTime
1356582081,04-10-18,16:05:10,1441
1356586077,04-10-18,16:09:45,165
1356594411,04-10-18,16:19:02,155
1356595677,04-10-18,16:20:27,234
1356595932,04-10-18,16:20:42,188
1356597078,04-10-18,16:22:03,145
1356599822,04-10-18,16:25:08,132
1356600565,04-10-18,16:25:55,122
1356603748,04-10-18,16:29:37,107
1356605162,04-10-18,16:31:09,64
1356605920,04-10-18,16:32:00,129
1356606524,04-10-18,16:32:37,150
1356607453,04-10-18,16:33:42,203
1356611108,04-10-18,16:37:52,171
1356614101,04-10-18,16:41:19,218
1356615506,04-10-18,16:42:53,202
1356616812,04-10-18,16:44:24,217
1356616993,04-10-18,16:44:35,281
1356618325,04-10-18,16:46:07,222
1356619595,04-10-18,16:47:33,160
1356619684,04-10-18,16:47:39,148
1356620732,04-10-18,16:48:50,202
1356621766,04-10-18,16:50:00,1478
1356621853,04-10-18,16:50:05,217
1356622024,04-10-18,16:50:18,234
1356625854,04-10-18,16:54:59,305
1356626896,04-10-18,16:56:12,206
1356627183,04-10-18,16:56:32,584
1356627211,04-10-18,16:56:35,128
1356629600,04-10-18,16:59:25,173
1356630941,04-10-18,17:01:03,674
1356631732,04-10-18,17:02:05,191
1356632171,04-10-18,17:02:36,504
1356633409,04-10-18,17:04:06,130
1356634454,04-10-18,17:05:20,231
1356634614,04-10-18,17:05:33,158
1356635845,04-10-18,17:07:03,135
1356635953,04-10-18,17:07:10,141
1356638169,04-10-18,17:09:47,1213
1356639631,04-10-18,17:11:31,131
1356642254,04-10-18,17:14:24,145
1356643465,04-10-18,17:15:43,135
1356643616,04-10-18,17:15:53,135
1356643801,04-10-18,17:16:05,72
1356646352,04-10-18,17:18:45,128
1356647487,04-10-18,17:20:02,214
1356647982,04-10-18,17:20:34,81
1356649118,04-10-18,17:21:53,300
1356650090,04-10-18,17:22:59,275
1356650204,04-10-18,17:23:07,285
1356651507,04-10-18,17:24:31,270
1356651692,04-10-18,17:24:44,403
1356651952,04-10-18,17:25:06,251
1356654495,04-10-18,17:27:53,234
1356656896,04-10-18,17:30:29,576
1356657499,04-10-18,17:31:11,234
1356658811,04-10-18,17:32:35,327
1356658840,04-10-18,17:32:37,319
1356659649,04-10-18,17:33:29,379
1356666835,04-10-18,17:41:23,408
1356666896,04-10-18,17:41:28,325
1356668137,04-10-18,17:42:45,316
1356669275,04-10-18,17:43:56,308
1356671114,04-10-18,17:45:58,329
1356672110,04-10-18,17:46:59,363
1356672478,04-10-18,17:47:25,386
1356673899,04-10-18,17:48:54,399
1356674166,04-10-18,17:49:13,230
1356675080,04-10-18,17:50:13,387
1356676675,04-10-18,17:51:56,376
1356677813,04-10-18,17:53:03,433
1356678237,04-10-18,17:53:35,335
1356680758,04-10-18,17:56:16,296
1356682053,04-10-18,17:57:40,293
1356682305,04-10-18,17:57:58,310
1356682410,04-10-18,17:58:06,309
1356684820,04-10-18,18:00:51,324
1356684950,04-10-18,18:01:01,298
1356684981,04-10-18,18:01:03,310
1356685525,04-10-18,18:01:42,672
1356687222,04-10-18,18:03:44,281
1356688546,04-10-18,18:05:17,306
1356688582,04-10-18,18:05:19,300
