uid,Date,time,travelTime
1353843622,04-07-18,16:00:04,385
1353843694,04-07-18,16:00:08,207
1353843758,04-07-18,16:00:13,330
1353843771,04-07-18,16:00:14,222
1353843843,04-07-18,16:00:18,279
1353844902,04-07-18,16:01:26,279
1353844988,04-07-18,16:01:32,275
1353845011,04-07-18,16:01:33,308
1353845077,04-07-18,16:01:37,285
1353845383,04-07-18,16:01:54,304
1353846634,04-07-18,16:03:13,302
1353847628,04-07-18,16:04:19,305
1353848155,04-07-18,16:04:52,337
1353848286,04-07-18,16:05:02,236
1353849181,04-07-18,16:06:02,319
1353849665,04-07-18,16:06:30,167
1353850446,04-07-18,16:07:20,306
1353850614,04-07-18,16:07:30,281
1353850653,04-07-18,16:07:33,191
1353850863,04-07-18,16:07:45,140
1353852134,04-07-18,16:09:03,211
1353852508,04-07-18,16:09:29,137
1353853375,04-07-18,16:10:24,369
1353853856,04-07-18,16:10:52,143
1353853873,04-07-18,16:10:53,241
1353853890,04-07-18,16:10:55,155
1353853944,04-07-18,16:10:58,226
1353855005,04-07-18,16:12:08,125
1353856522,04-07-18,16:13:45,119
1353856738,04-07-18,16:13:59,144
1353856785,04-07-18,16:14:01,127
1353857623,04-07-18,16:14:54,120
1353857694,04-07-18,16:14:59,814
1353857777,04-07-18,16:15:04,113
1353857914,04-07-18,16:15:15,178
1353859416,04-07-18,16:16:47,180
1353859542,04-07-18,16:16:56,390
1353859618,04-07-18,16:17:01,98
1353859635,04-07-18,16:17:03,138
1353860630,04-07-18,16:18:06,116
1353861883,04-07-18,16:19:25,198
1353862047,04-07-18,16:19:35,284
1353862059,04-07-18,16:19:36,128
1353862226,04-07-18,16:19:46,314
1353862320,04-07-18,16:19:53,122
1353862359,04-07-18,16:19:55,70
1353863245,04-07-18,16:20:49,124
1353863625,04-07-18,16:21:12,130
1353863845,04-07-18,16:21:27,137
1353864765,04-07-18,16:22:23,182
1353864986,04-07-18,16:22:35,114
1353865131,04-07-18,16:22:44,124
1353866227,04-07-18,16:23:57,590
1353866305,04-07-18,16:24:01,188
1353866480,04-07-18,16:24:11,133
1353866498,04-07-18,16:24:13,238
1353866533,04-07-18,16:24:15,139
1353866574,04-07-18,16:24:18,281
1353866602,04-07-18,16:24:20,125
1353867785,04-07-18,16:25:36,142
1353868008,04-07-18,16:25:49,211
1353868154,04-07-18,16:25:59,247
1353869085,04-07-18,16:26:56,187
1353869318,04-07-18,16:27:09,154
1353869390,04-07-18,16:27:15,147
1353869496,04-07-18,16:27:22,159
1353870801,04-07-18,16:28:43,198
1353870828,04-07-18,16:28:44,143
1353870883,04-07-18,16:28:47,143
1353870943,04-07-18,16:28:51,140
1353871081,04-07-18,16:28:59,144
1353872245,04-07-18,16:30:11,137
1353872529,04-07-18,16:30:26,69
1353873441,04-07-18,16:31:25,134
1353873602,04-07-18,16:31:34,193
1353873651,04-07-18,16:31:37,1063
1353873688,04-07-18,16:31:39,124
1353873731,04-07-18,16:31:43,137
1353873805,04-07-18,16:31:47,137
1353873856,04-07-18,16:31:50,122
1353873941,04-07-18,16:31:55,125
1353874039,04-07-18,16:32:00,123
1353875049,04-07-18,16:33:02,134
1353875218,04-07-18,16:33:12,182
1353875306,04-07-18,16:33:18,146
1353875403,04-07-18,16:33:24,69
1353875481,04-07-18,16:33:29,133
1353876622,04-07-18,16:34:38,131
1353876712,04-07-18,16:34:43,143
1353876949,04-07-18,16:34:58,130
1353878010,04-07-18,16:36:08,129
1353878066,04-07-18,16:36:12,202
1353878095,04-07-18,16:36:13,146
1353878192,04-07-18,16:36:18,141
1353878263,04-07-18,16:36:22,119
1353878289,04-07-18,16:36:23,126
1353878421,04-07-18,16:36:31,66
1353879360,04-07-18,16:37:30,191
1353879614,04-07-18,16:37:45,122
1353879694,04-07-18,16:37:50,138
1353879811,04-07-18,16:37:57,150
1353881000,04-07-18,16:39:13,185
1353881043,04-07-18,16:39:15,124
