uid,Date,time,travelTime
1353844286,04-07-18,16:00:43,379
1353844351,04-07-18,16:00:47,368
1353844453,04-07-18,16:00:55,382
1353844585,04-07-18,16:01:05,312
1353844888,04-07-18,16:01:25,318
1353844900,04-07-18,16:01:26,243
1353846146,04-07-18,16:02:41,302
1353846176,04-07-18,16:02:42,308
1353846197,04-07-18,16:02:44,301
1353846286,04-07-18,16:02:49,315
1353847092,04-07-18,16:03:43,445
1353847198,04-07-18,16:03:50,374
1353847631,04-07-18,16:04:20,301
1353848941,04-07-18,16:05:47,319
1353850192,04-07-18,16:07:05,312
1353850219,04-07-18,16:07:07,306
1353850307,04-07-18,16:07:12,318
1353850410,04-07-18,16:07:18,309
1353850430,04-07-18,16:07:19,309
1353851326,04-07-18,16:08:15,361
1353851331,04-07-18,16:08:15,352
1353851400,04-07-18,16:08:20,287
1353851496,04-07-18,16:08:25,361
1353851732,04-07-18,16:08:39,226
1353851876,04-07-18,16:08:48,393
1353852739,04-07-18,16:09:44,443
1353852811,04-07-18,16:09:47,375
1353852955,04-07-18,16:09:58,461
1353852972,04-07-18,16:09:59,371
1353854152,04-07-18,16:11:13,353
1353854300,04-07-18,16:11:25,278
1353854674,04-07-18,16:11:50,222
1353856212,04-07-18,16:13:27,225
1353857072,04-07-18,16:14:21,294
1353857126,04-07-18,16:14:23,291
1353857270,04-07-18,16:14:31,293
1353857286,04-07-18,16:14:32,291
1353857492,04-07-18,16:14:46,294
1353857539,04-07-18,16:14:49,228
1353857574,04-07-18,16:14:51,304
1353858405,04-07-18,16:15:45,288
1353858745,04-07-18,16:16:07,303
1353858803,04-07-18,16:16:10,312
1353859896,04-07-18,16:17:21,371
1353860182,04-07-18,16:17:41,382
1353860203,04-07-18,16:17:42,387
1353861262,04-07-18,16:18:43,367
1353861424,04-07-18,16:18:54,378
1353861541,04-07-18,16:19:02,382
1353861659,04-07-18,16:19:10,389
1353861703,04-07-18,16:19:14,318
1353862704,04-07-18,16:20:15,432
1353863106,04-07-18,16:20:41,376
1353863298,04-07-18,16:20:53,413
1353864089,04-07-18,16:21:44,444
1353864112,04-07-18,16:21:45,460
1353864278,04-07-18,16:21:55,387
1353864625,04-07-18,16:22:15,395
1353864678,04-07-18,16:22:18,476
1353864731,04-07-18,16:22:20,323
1353865540,04-07-18,16:23:14,356
1353865710,04-07-18,16:23:26,386
1353866027,04-07-18,16:23:46,818
1353866083,04-07-18,16:23:49,389
1353866952,04-07-18,16:24:43,370
1353867034,04-07-18,16:24:48,447
1353867292,04-07-18,16:25:06,394
1353867595,04-07-18,16:25:25,416
1353868499,04-07-18,16:26:22,385
1353868533,04-07-18,16:26:24,461
1353868571,04-07-18,16:26:26,372
1353868833,04-07-18,16:26:41,384
1353868873,04-07-18,16:26:44,395
1353869975,04-07-18,16:27:54,461
1353870280,04-07-18,16:28:14,322
1353870430,04-07-18,16:28:22,658
1353871319,04-07-18,16:29:17,561
1353871333,04-07-18,16:29:18,451
1353871374,04-07-18,16:29:21,368
1353871489,04-07-18,16:29:29,439
1353871551,04-07-18,16:29:32,471
1353871807,04-07-18,16:29:47,321
1353871833,04-07-18,16:29:48,393
