,Bearing,BlockRef,CallDistanceAlongRoute,DataFrameRef,DatedVehicleJourneyRef,DestinationName,DestinationRef,DirectionRef,DistanceFromCall,ExpectedArrivalTime,ExpectedDepartureTime,JourneyPatternRef,Latitude,LineRef,Longitude,Monitored,OperatorRef,OriginAimedDepartureTime,OriginRef,PresentableDistance,ProgressRate,ProgressStatus,PublishedLineName,RecordedAtTime,StopPointName,StopPointRef,StopsFromCall,VehicleRef,VisitNumber
14,53.967228,MTA NYCT_OF_B8-Sunday_D_OF_36600_M1-102,3011.2,2018-04-08,MTA NYCT_OF_B8-Sunday-103200_M1_139,HARLEM 147 ST via MADISON,MTA_803003,0,235.58,2018-04-08T17:28:19.161-04:00,2018-04-08T17:28:19.161-04:00,MTA_M010182,40.742379,MTA NYCT_M1,-73.986882,True,MTA NYCT,,MTA_903130,< 1 stop away,normalProgress,,M1,2018-04-08T17:27:02.000-04:00,MADISON AV/E 28 ST,MTA_405380,0,MTA NYCT_3837,1
0,54.211025,MTA NYCT_OF_B8-Sunday_D_OF_17760_M1-102,4733.54,2018-04-08,MTA NYCT_OF_B8-Sunday-101200_M1_138,HARLEM 147 ST via MADISON,MTA_803003,0,0.0,,,MTA_M010182,40.75779,MTA NYCT_M1,-73.975641,True,MTA NYCT,,MTA_903130,at stop,normalProgress,,M1,2018-04-08T17:27:36.000-04:00,MADISON AV/E 49 ST,MTA_400360,0,MTA NYCT_6749,1
2,234.09027,MTA NYCT_OF_B8-Sunday_D_OF_39180_M1-129,9128.65,2018-04-08,MTA NYCT_OF_B8-Sunday-099700_M1_140,GRAND STREET via 5 AV/BROADWAY,MTA_803192,1,2.95,2018-04-08T17:27:48.161-04:00,2018-04-08T17:27:48.161-04:00,MTA_M010187,40.752819,MTA NYCT_M1,-73.981368,True,MTA NYCT,,MTA_405284,at stop,normalProgress,,M1,2018-04-08T17:27:39.000-04:00,5 AV/W 42 ST,MTA_400518,0,MTA NYCT_3833,1
3,53.7371,MTA NYCT_OF_B8-Sunday_D_OF_27000_M1-111,4414.29,2018-04-08,MTA NYCT_OF_B8-Sunday-102200_M1_130,HARLEM 147 ST via MADISON,MTA_803003,0,3.3,2018-04-08T17:27:48.161-04:00,2018-04-08T17:27:48.161-04:00,MTA_M010182,40.755251,MTA NYCT_M1,-73.977491,True,MTA NYCT,,MTA_903130,at stop,normalProgress,,M1,2018-04-08T17:27:26.988-04:00,MADISON AV/E 45 ST,MTA_400358,0,MTA NYCT_3829,1
4,233.8172,MTA NYCT_OF_B8-Sunday_D_OF_40740_M1-131,3091.99,2018-04-08,MTA NYCT_OF_B8-Sunday-103200_M1_128,GRAND STREET via 5 AV/BROADWAY,MTA_803192,1,16.05,2018-04-08T17:27:48.161-04:00,2018-04-08T17:27:48.161-04:00,MTA_M010187,40.80044,MTA NYCT_M1,-73.946624,True,MTA NYCT,,MTA_405284,at stop,normalProgress,,M1,2018-04-08T17:27:18.000-04:00,5 AV/W 116 ST,MTA_400103,0,MTA NYCT_6767,1
5,233.6001,MTA NYCT_OF_B8-Sunday_D_OF_23160_M1-108,3705.89,2018-04-08,MTA NYCT_OF_B8-Sunday-101700_M1_143,GRAND STREET via 5 AV/BROADWAY,MTA_803192,1,18.12,2018-04-08T17:27:48.457-04:00,2018-04-08T17:27:48.457-04:00,MTA_M010187,40.795622,MTA NYCT_M1,-73.950134,True,MTA NYCT,,MTA_405284,at stop,normalProgress,,M1,2018-04-08T17:27:44.000-04:00,5 AV/E 108 ST,MTA_400108,0,MTA NYCT_3891,1
6,49.23225,MTA NYCT_OF_B8-Sunday_D_OF_21660_M1-106,13730.36,2018-04-08,MTA NYCT_OF_B8-Sunday-097300_M1_136,GRAND STREET via 5 AV/BROADWAY,MTA_803192,1,21.04,2018-04-08T17:27:48.161-04:00,2018-04-08T17:27:48.161-04:00,MTA_M010187,40.720446,MTA NYCT_M1,-73.997955,True,MTA NYCT,,MTA_405284,at stop,normalProgress,,M1,2018-04-08T17:27:41.000-04:00,CENTRE ST/BROOME ST,MTA_803192,0,MTA NYCT_6776,1
7,53.95742,MTA NYCT_OF_B8-Sunday_D_OF_54420_M1-131,5816.33,2018-04-08,MTA NYCT_OF_B8-Sunday-100100_M1_131,HARLEM 147 ST via MADISON,MTA_803003,0,23.61,2018-04-08T17:27:48.161-04:00,2018-04-08T17:27:48.161-04:00,MTA_M010182,40.766128,MTA NYCT_M1,-73.969559,True,MTA NYCT,,MTA_903130,at stop,normalProgress,,M1,2018-04-08T17:27:38.000-04:00,MADISON AV/E 63 ST,MTA_400026,0,MTA NYCT_3893,1
8,233.89124,MTA NYCT_OF_B8-Sunday_D_OF_49680_M1-127,133.41,2018-04-08,MTA NYCT_OF_B8-Sunday-100700_M1_127,GRAND STREET via 5 AV/BROADWAY,MTA_803192,1,101.99,,,MTA_M010187,40.820887,MTA NYCT_M1,-73.935902,True,MTA NYCT,2018-04-08T16:47:00.000-04:00,MTA_405284,approaching,noProgress,layover,M1,2018-04-08T17:27:36.238-04:00,MALCOLM X BL/W 145 ST,MTA_400088,0,MTA NYCT_3831,1
9,54.03297,MTA NYCT_OF_B8-Sunday_D_OF_53220_M1-137,10292.38,2018-04-08,MTA NYCT_OF_B8-Sunday-098000_M1_137,HARLEM 147 ST via MADISON,MTA_803003,0,147.24,,,MTA_M010182,40.800386,MTA NYCT_M1,-73.944555,True,MTA NYCT,,MTA_903130,approaching,normalProgress,,M1,2018-04-08T17:25:05.000-04:00,MADISON AV/E 118 ST,MTA_400051,0,MTA NYCT_6779,1
